variant,coverage_vs_base,MED_SIG_ic,MED_SIG_ic_t,MED_ic,MED_ic_t,ls_net_sharpe,ls_gross_sharpe,ls_turnover,span_alpha_ann,span_alpha_t,fm_t,qlike,qlike_scaled,dm_t_vs_ewma,dm_t_vs_garch,pinball_h1,q05_hit,phase,spec,trackB_comparable,fm_t_over_uni,ic_diff_t_vs_uni,qlike_sc_dm_t_vs_uni,qlike_dm_t_vs_uni,pinball_dm_t_vs_uni,sharpe_boot_p_vs_uni
uni,1.0,0.07267751903831164,6.369977540252062,0.06824565445373824,6.025231590596031,1.1705897040649624,1.8274663550692207,25.500355947026243,-0.002842399220758541,-0.1499960133584843,2.697695140466259,0.8898744238642937,0.5996272449461644,2.518338425023801,4.693031562220893,0.005742713884934363,0.05444512778461118,C0,{},True,,,,,,
xl,1.0,0.06083967104699218,5.4692709362832135,0.061031974166846956,5.286267748975818,1.0051334214615724,1.8996612097141632,45.15533222965818,-0.020189615253504326,-1.0224342356332297,3.1781290995837,0.7959227248201453,0.5419913001324712,-1.6784156230983986,3.2410560164376063,0.005799381723346807,0.058784337843378436,C0,"{""xl"": true}",True,1.8767039720665264,-1.7998366424909935,-3.7679725236351453,-3.1628074217380866,1.4638641448728995,0.6945
cov,1.0,0.07440738184894409,6.386332866998111,0.07032568651904282,6.084220100086987,1.26273140760841,1.9412465139785573,31.97868134582869,-0.004007433874775951,-0.21634777780388847,3.5111308196291064,0.8580154627673879,0.5673503045722776,1.0014793777137716,3.8330755467186073,0.0057209089433344715,0.057725160584939185,C0,"{""cov"": ""base""}",True,2.600617604639337,0.5113807988151208,-3.146414850521986,-1.7234009239416044,-0.49718840500327455,0.254
xl_cov,1.0,0.07876105104966294,6.203150956968966,0.07643915443247894,6.04232130139304,1.466773679296446,2.1092862721491796,32.20475042188227,-0.007443695656578896,-0.3961976927016811,3.233233751148151,0.8887068869945579,0.5594975498075803,0.6707921958104595,1.9766668193933554,0.005707981111876365,0.05745182451824518,C0,"{""xl"": true, ""cov"": ""base""}",True,2.6123900971866645,1.2285812223878672,-1.4096561144703081,-0.017341303900667543,-0.724489577605397,0.121
xl_sector,1.0,0.06903222413435949,5.987475085500815,0.06859186860398112,5.816258807468033,1.1891085207664336,1.9616775871220724,36.91826168942033,-0.01039553182096369,-0.49760862571247194,3.0738274062970357,0.8490299769950842,0.569122987069041,0.3332111039476251,3.0120570421452637,0.005745564609709594,0.05661473281399481,C1,"{""xl"": true, ""groups"": ""sector""}",True,2.5214679625985186,-0.6658876152276323,-1.8576043986831512,-1.434284741946343,0.09352111596127823,0.48
xl_market,1.0,0.06644267274499345,5.695016156466012,0.0650240192751089,5.423391849617439,1.1876184225331967,1.9536169155079979,40.617681587450015,-0.01752246925555935,-0.9483730149114336,3.4363609875463075,0.8202496890285433,0.539128346703569,-0.5582147264224613,3.043625029640552,0.005739083841794785,0.057725160584939185,C1,"{""xl"": true, ""extras"": true}",True,2.386135570304152,-0.9821842402900617,-3.7162132106679704,-2.354647316530839,-0.07566255115920296,0.4795
xl_liq,1.0,0.05942744276936809,5.356180790183125,0.05887866437094323,5.153692570427803,0.8981358417545589,1.7441716997674042,41.86493208103748,-0.0281137147212506,-1.422661882007553,2.373965193193397,0.7713784639385648,0.5272229147941084,-2.6941569649029087,2.4348807214178367,0.005782703612786624,0.05803266365996993,C1,"{""xl"": true, ""groups"": ""liquidity""}",True,1.0910871226707282,-2.445717643257772,-5.226231425234683,-3.810428532885595,1.12198617899941,0.8585
xl_rand20,1.0,0.0667938690446864,6.114187916590892,0.06571222907757464,5.806171817152685,1.1834109186068815,2.06235426961082,42.74396893665038,-0.009934265097928099,-0.5300992727341621,3.4687001667754687,0.7731300700461169,0.5336754482777311,-1.9506730869910232,1.6496171508025481,0.005787560522501502,0.05683681836818368,C1,"{""xl"": true, ""groups"": ""random20""}",True,2.203308932244817,-1.1268408082663364,-3.9919792472380426,-2.8348056809316766,1.4976156753645782,0.4825
cov_sector,1.0,0.07625334284792332,6.482046257279981,0.07274093537551309,6.227896721364283,1.337641720406011,2.0010593979600273,30.52221714286278,0.0035250536081348287,0.17804782978406783,3.689638470905016,0.8575960280903002,0.5658863977827523,0.9526650575649022,3.7288268316605233,0.0057104299954692005,0.05642681426814268,C2,"{""cov"": ""sector""}",True,2.743578702759773,1.068448710477373,-3.5279391569121366,-1.8673537871782624,-0.725327317917378,0.1265
cov_fut,1.0,0.08099562879224383,6.955892873800084,0.07773840601468025,6.6813196720314805,1.5732118512191617,2.2896082425782245,33.93069365475959,0.015665384533125673,0.8145982035331647,4.695151670346024,0.8470479413825224,0.5383472632032676,0.48896871641451106,3.580872569331251,0.005722237385661954,0.058596419297526306,C2,"{""cov"": ""futures""}",True,4.0914355670159726,1.769832954981252,-4.467011598205642,-2.1840067587119587,-0.4174576954414025,0.0345
ctx64,1.0,0.053353795675258796,4.793433783439727,0.05326167423212094,4.459217353213021,1.2161040462762889,1.9637690209787393,38.44709993222741,-0.0325089284591434,-1.3912170915790407,2.760709809504039,0.7461429554790474,0.6023726784059037,-1.3598039582545371,0.34997476680475165,0.00590458806794692,0.05630722973896406,C3,"{""ctx"": 64}",True,1.8908069560444247,-2.17980271881863,0.13291709312515151,-1.897182215746502,5.490021613587531,0.4575
ctx128,1.0,0.055477771152541135,4.755302547228487,0.05547195651190018,4.522835861046929,0.8003386164794758,1.4723608694332364,30.56646459779169,-0.03990219348179228,-1.937329717307963,2.2299248003556835,0.8162362963775867,0.590037133625857,-0.6232674354358732,2.402003986949324,0.005814820662934115,0.053710537105371055,C3,"{""ctx"": 128}",True,0.7737055717811511,-2.5946895725623826,-0.7726464143823755,-1.810116602736344,2.6193187146647343,0.8805
ctx512,1.0,0.06226263619776599,5.398893206011225,0.06085239687039521,5.115705263951469,0.7702753044962956,1.3953821696173745,23.5161794778804,-0.010354441104904695,-0.45112401478356956,1.7679817786372052,0.8650833926914311,0.6059580346134743,0.7027663606285093,3.101973923735428,0.005672619264675773,0.05084050840508405,C3,"{""ctx"": 512}",True,-0.47536227854227153,-1.8661835019760007,0.2650536521200964,-0.5369112238073251,-1.4496951038433867,0.9075
resid,1.0,0.06778899809988825,5.76999937069005,0.07723094409637882,6.138669396092147,1.815157386746253,2.434271164700083,25.23009250995939,-0.0036614238313044125,-0.20001589435721107,3.3496406813155857,1.8892003434551183,0.7308310524016086,1.871823043490483,2.048908462697283,0.005789674256322027,0.08324791581249145,C4,"{""target"": ""resid""}",False,2.219565635834253,-0.7790195952094133,1.2245067927728626,1.8085550285845289,1.128742912912922,0.053
weekly,1.0,0.06096265446462775,5.390932055474639,0.054429806426376404,4.912042619346888,1.2428642072323073,1.9325673300427764,27.106954212432843,-0.007429874298654458,-0.33751548264898007,3.179192349278996,0.9538472953279059,0.7898768677966388,0.8015863242764075,1.5515126318396424,0.007350314136765483,0.00558630586305863,C4,"{""target"": ""weekly""}",True,2.275906846287332,-2.0076650091953727,1.6086213695368043,0.465451835713003,27.493062949387696,0.4245
logprice,1.0,0.026671604407072,2.5906282570271864,0.027496214470113745,2.6316804207697007,-0.14713878803610922,0.7416881282681016,42.209579744991494,-0.017125727065813896,-0.5133655099542919,1.0244919056992678,0.876644159928717,0.6565596550267738,0.5130757988249003,1.8988366422183527,0.006151072626656725,0.03966789667896679,C4,"{""target"": ""logprice""}",True,0.06025377114524354,-4.936825063528799,1.064081400048602,-0.19047541401193202,15.061943998149568,0.9835
cov_fut_ctx128,1.0,0.06850408806685035,5.746522987168177,0.06750188714775857,5.486690553343417,1.4058941975547399,2.074347792005352,34.01071508574713,-0.009411850129294087,-0.4720515368766001,4.259886230782765,0.8450403848028406,0.5415016433391153,0.2562347983346936,2.865808528159333,0.005733239800140667,0.05622181221812218,C3b,"{""cov"": ""futures"", ""ctx"": 128}",True,3.213769260786205,-0.6413454042199676,-4.630842222265795,-1.8125479028927227,-0.20612677387838524,0.2325
cov_fut_ctx512,1.0,0.07237959749117137,6.324983393889324,0.06760693247393157,5.79206726506075,1.1988723996288948,1.9038310249519346,34.21277076085227,0.001458995560168379,0.07244783237502032,3.2253741057653267,0.815808793186061,0.511476874868282,-0.5227354562007805,2.0328837965828814,0.005693502362637096,0.05890392237255706,C3b,"{""cov"": ""futures"", ""ctx"": 512}",True,1.8315775620572883,-0.05269387929456502,-2.98892651955675,-1.5703190358676842,-1.0717569080136824,0.4765
xl_liq_ctx128,1.0,0.06498503956237518,5.581607250189442,0.064473088763026,5.3233350118614196,1.0212615318350409,1.7316271647553558,38.79405411422128,-0.0336594237965415,-1.7278447794545257,3.250027915912319,0.770803577018258,0.5033694868325785,-1.60485220745986,1.382924407882792,0.005798652241489803,0.05818641519748531,C3b,"{""xl"": true, ""groups"": ""liquidity"", ""ctx"": 128}",True,1.8782287561635347,-1.155856059696502,-3.737127931551994,-2.3466800516082413,3.3020060853005875,0.6865
xl_liq_ctx512,1.0,0.054203428059277095,4.689238178854083,0.05455619974860687,4.56365666728402,0.5863984024836848,1.4030783334767962,39.62736522540708,-0.03673351710671203,-1.7427584686521782,1.737096936050976,0.6474328767597672,0.48686691631847956,-2.1986816854978017,-0.9376309764235589,0.0057331696962503766,0.05355678556785568,C3b,"{""xl"": true, ""groups"": ""liquidity"", ""ctx"": 512}",True,0.14268959560086117,-2.815547690896798,-3.1451933096245055,-2.549640165350086,-0.2608363233380936,0.9545
