ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
GAZP,1,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.004870797307901319,-0.007094322273463157,0.28227244495875015,0.8375,0.005094157596116007,0.9701715199467092
GAZP,2,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,0.08970111507471712,0.08086385681647902,0.24794546139087004,0.8025,0.005316659490822044,0.9701715199467092
GAZP,3,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.01986273062101702,-0.04283494266026369,0.2494859329513679,0.8325,0.005132168574453643,0.9701715199467092
GAZP,5,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,0.052858567776206046,0.040632226863719784,0.2024408220993753,0.815,0.005297147557578854,0.9701715199467092
SBER,1,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,0.09693930391669632,-0.029964543329426094,0.2927783232999946,0.83,0.0035479671585318786,0.9701715199467092
SBER,2,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,0.0763114191887203,0.0442492677124034,0.2543558972081292,0.825,0.0038465322974031747,0.9701715199467092
SBER,3,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.021700540378504336,-0.005697630159448282,0.26207587188622583,0.8075,0.004006767211045019,0.9701715199467092
SBER,5,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,0.12192091211731247,0.052787155986191256,0.2593288101430249,0.835,0.0037569591247076954,0.9701715199467092
ROSN,1,400,0.5625,0.007092061595941091,0.5135179111980513,0.6102930087269886,0.08627420633941563,0.09960237186931634,0.2875792355438864,0.805,0.004226991176644859,0.4538919421402298
ROSN,2,400,0.535,0.08847097088885246,0.4860191592087707,0.5833149559492518,0.24529968342579794,0.12425639086294515,0.2553072825912387,0.8075,0.0043065641911758466,0.9701715199467092
ROSN,3,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,-0.028009834979008583,-0.03214585198934626,0.2738091555461487,0.8075,0.004541406242849128,0.9701715199467092
ROSN,5,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.20047742201632673,0.09948766978140713,0.25951165806620113,0.8175,0.004303126575159123,0.9701715199467092
MTSS,1,400,0.445,0.9878360845980799,0.3970499227484684,0.4939964677174965,0.007239109195238813,-0.07917322921076696,0.2591489277931007,0.785,0.004880410797329879,0.99066923984132
MTSS,2,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.13091428249498827,0.02687253912148459,0.2506233237149631,0.8025,0.004828622726713494,0.9701715199467092
MTSS,3,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.03899059641996555,0.040070068154059425,0.2540629917372811,0.8325,0.004786599762887807,0.9701715199467092
MTSS,5,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,0.09522177859386476,0.05904566821481385,0.24190183003468435,0.8075,0.004864669895421201,0.9701715199467092
LKOH,1,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.040437371822788705,0.005820528046674597,0.2658461833771302,0.8075,0.0033852835250757687,0.9701715199467092
LKOH,2,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.1218933296456424,0.07168224974107301,0.2754983537988433,0.805,0.0036847886863548163,0.9701715199467092
LKOH,3,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.0492852326575506,-0.05034548766164793,0.23098399609143344,0.82,0.003693616242801282,0.9701715199467092
LKOH,5,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.07613621801906172,0.05365251362260983,0.22874341002685428,0.8075,0.0037171641260795884,0.9701715199467092
T,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.011302099148199775,-0.07069026952180871,0.2506757747515236,0.8175,0.004686542234187472,0.9701715199467092
T,2,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,0.1026788049477001,0.07761030930163317,0.23266054923502533,0.8275,0.004934558649799176,0.9701715199467092
T,3,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.013468991653147501,-0.036546792808199245,0.23295455957559624,0.8275,0.004793863483390748,0.9701715199467092
T,5,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.08784053716769742,0.08675283493809292,0.24350036091953015,0.825,0.004947551384527137,0.9701715199467092
PLZL,1,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.049873084792823874,-0.04513347346071138,0.2577928372041993,0.8125,0.004565740668083887,0.9701715199467092
PLZL,2,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.0008136879681415302,-0.019127119674954424,0.22058180228604024,0.82,0.004626306342770288,0.9701715199467092
PLZL,3,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.0471884775002293,-0.048249286967094906,0.22473115092857898,0.805,0.005136504134978852,0.9701715199467092
PLZL,5,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,0.020795897347916096,-0.0202312221370144,0.24037419649881892,0.8275,0.00456340968733482,0.9701715199467092
VTBR,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.020513147784146906,-0.039652289723070756,0.28123555597351535,0.83,0.004987897573885906,0.9701715199467092
VTBR,2,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.001949250268387086,0.01723636984074273,0.21403211939750616,0.7925,0.005298092551786304,0.9701715199467092
VTBR,3,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.006763910066350327,0.0007641224736684468,0.2772745625241138,0.8375,0.005191049991745047,0.9701715199467092
VTBR,5,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,0.04354887071589177,0.024062963115642697,0.2420020529377564,0.8225,0.005173657633575786,0.9722976310518907
GMKN,1,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,0.055654408202071654,-0.03436192542968468,0.3161591393397173,0.825,0.005166833483940243,0.9701715199467092
GMKN,2,400,0.53,0.12505616143816314,0.48103525950149856,0.5783939820625206,0.14721273663319862,0.14386530335907433,0.25016315612658596,0.8025,0.00538530526854244,0.9701715199467092
GMKN,3,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.08744762867683904,-0.082784658493383,0.26113100782174925,0.8,0.005485470649421303,0.9701715199467092
GMKN,5,400,0.54,0.06051641842304938,0.4910079246678604,0.5882310640841653,0.09988291774004451,0.17887852448211533,0.2611905224654669,0.8025,0.00531094428887155,0.9682626947687901
MAGN,1,400,0.55,0.02552011156457406,0.5010000980193108,0.5980486379207213,0.04269508801455317,0.0730876253730064,0.3020321681647693,0.8075,0.004660257807341742,0.8166435700663699
MAGN,2,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.10674880949438446,0.12112288110415895,0.3104681337953288,0.815,0.0051149510918563216,0.9701715199467092
MAGN,3,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.036425722019648325,0.002498478998308679,0.29526760442089056,0.835,0.004954988498445657,0.9701715199467092
MAGN,5,400,0.525,0.17106119804202574,0.4760562161165593,0.5734681518534566,0.02364633284449785,0.11423877676622195,0.2738982209426317,0.835,0.005089477653955654,0.9701715199467092
AFKS,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,0.011298046171008342,-0.0886096527115239,0.274845124854893,0.84,0.00669994284572516,0.9701715199467092
AFKS,2,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,-0.01624370792565151,0.05158499576717974,0.25786168834865897,0.8,0.007198735666836751,0.9701715199467092
AFKS,3,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.011096120385182288,-0.011766936598499932,0.23922169050031494,0.825,0.007372435289514561,0.9701715199467092
AFKS,5,400,0.525,0.17106119804202574,0.4760562161165593,0.5734681518534566,0.031081962484792357,0.050496023445252954,0.24420417664070065,0.805,0.007086420572088204,0.9701715199467092
MGNT,1,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,0.054729614848299156,-0.005107758928969049,0.3043098385035318,0.8325,0.005138713561664894,0.9701715199467092
MGNT,2,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.014374996024532627,0.057465679182052136,0.2833701885175821,0.8275,0.005593503259521808,0.9701715199467092
MGNT,3,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,-0.022732179337473953,-0.06036877938021021,0.24079274015127014,0.79,0.006065265848831055,0.9701715199467092
MGNT,5,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.05994280430114097,0.05390914294981171,0.27634335551942607,0.8275,0.005526199350970951,0.9701715199467092
PHOR,1,400,0.4425,0.99066923984132,0.3946010465039066,0.49149290716505667,-0.08436350204925076,-0.07457995159735133,0.2672219936116851,0.84,0.004703507814021637,0.99066923984132
PHOR,2,400,0.45,0.9798846301596811,0.40195136207927884,0.4989999019806892,0.0382588081036861,0.014074247342528514,0.2271979513442637,0.8125,0.005244231027259849,0.99066923984132
PHOR,3,400,0.5425,0.04941089345828238,0.49350413540767263,0.5906872901413545,-0.009383181149031153,0.04389121250477246,0.19574765267480398,0.8225,0.004977619691369129,0.9682626947687901
PHOR,5,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,0.014129067486281593,0.0064867903786133526,0.20842132256279008,0.845,0.005148981897793076,0.9701715199467092
AFLT,1,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.0018814933029208424,-0.047258481919189854,0.2680271786463144,0.8325,0.0060272240855037155,0.9701715199467092
AFLT,2,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.029326759162101874,0.027990614951062854,0.21998203444579936,0.82,0.006408614640164035,0.9701715199467092
AFLT,3,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,-0.06501707022380361,-0.03958872414717478,0.26233957345997794,0.8375,0.006463622776250833,0.9856876921463089
AFLT,5,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.05913149916981717,0.06872153804069173,0.20848121018187737,0.8275,0.00644177816352286,0.9701715199467092
IRAO,1,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.0043283812644296545,0.03545694659417,0.2226063768313431,0.7975,0.003798045863006702,0.9701715199467092
IRAO,2,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,-0.01371262160176622,-0.006361250337086209,0.214085638810249,0.8075,0.003643021345777417,0.9701715199467092
IRAO,3,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.07173467600522955,-0.06949841121520971,0.20568307780067796,0.8225,0.004011255479439818,0.9701715199467092
IRAO,5,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.006975252600451223,-0.006092276287432545,0.21033895799164043,0.8175,0.003560467353418253,0.9701715199467092
FEES,1,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,-0.05511114114990834,-0.016756776195261197,0.25602308444624433,0.805,0.005767357562711575,0.9701715199467092
FEES,2,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,0.0704342461276016,0.04196180127299899,0.2510165240093687,0.82,0.005968913590570786,0.9701715199467092
