ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
GAZP,1,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.007444565300324675,-0.0440755337362492,0.09207842902340174,0.7925,0.005358111579499165,0.9798846301596811
GAZP,2,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,0.0031342791169127063,-0.05978284307293825,0.08799984235012656,0.7875,0.004916444803909696,0.9798846301596811
GAZP,3,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.02842725738720239,-0.032936752543809775,0.08557672392229752,0.8075,0.0048859242019138275,0.9798846301596811
GAZP,5,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.07434512286783289,-0.008927216229735024,0.0958087479127083,0.81,0.004664318258820762,0.9798846301596811
SBER,1,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.1010356847686778,-0.07272976138337128,0.10199534559342102,0.7175,0.003986126281490771,0.9798846301596811
SBER,2,400,0.53,0.12505616143816314,0.48103525950149856,0.5783939820625206,0.07385334085056092,0.03627965084922427,0.09567078192359843,0.7575,0.004148466027604453,0.9798846301596811
SBER,3,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.14183885404480448,-0.0606856635854734,0.0981046509046557,0.745,0.003984721828324026,0.9798846301596811
SBER,5,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,-0.04988352822909684,0.011209145443256097,0.10304295724423666,0.8,0.003845686787616551,0.9798846301596811
ROSN,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.06908327638377096,-0.03393077951905787,0.11266459252866219,0.77,0.004327260252815692,0.9798846301596811
ROSN,2,400,0.45,0.9798846301596811,0.40195136207927884,0.4989999019806892,0.05342829815858867,-0.047034566205181004,0.10233013300358365,0.785,0.004364042837692395,0.9798846301596811
ROSN,3,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.03554550854730098,-0.04415013727986579,0.08614642902566882,0.755,0.004487829192055477,0.9798846301596811
ROSN,5,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,0.001076093903120409,-0.02659898606609298,0.08198233021618412,0.785,0.004414701939272518,0.9798846301596811
MTSS,1,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,0.012389948658369624,-0.02089739145326207,0.08622652514046814,0.7475,0.005080781655077896,0.9798846301596811
MTSS,2,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.06923873353838716,-0.02907650173054518,0.07581468890637877,0.775,0.004951380237370088,0.9798846301596811
MTSS,3,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,0.027933935813599195,-0.07212913172211242,0.08671320689253703,0.7575,0.004792139021174685,0.9798846301596811
MTSS,5,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.13974522453992505,-0.12106792751399616,0.07694729317429817,0.79,0.004536053542067832,0.9798846301596811
