ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
GAZP,1,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.005349460185325973,-0.05059251318930454,0.08749641006205228,0.785,0.005355003854357959,0.9842866822427846
GAZP,2,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.04480945161744347,-0.06553314410687973,0.08241656862632013,0.79,0.004934957643777221,0.9842866822427846
GAZP,3,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.025646672328427607,-0.026680023006407504,0.08244788758810234,0.8025,0.004890890256699591,0.9842866822427846
GAZP,5,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.06347925298102239,-0.019598944180408365,0.09146151490112767,0.805,0.0046639204320810534,0.9842866822427846
SBER,1,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.09589527256812705,-0.06886104335676291,0.09045757047046565,0.7375,0.003979272364305962,0.9842866822427846
SBER,2,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.055199483255603476,0.018106871963898496,0.09242023950920884,0.7625,0.004155773647446499,0.9842866822427846
SBER,3,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,-0.12942598417734058,-0.06185098642771764,0.09569091046623618,0.745,0.00397992512234075,0.9842866822427846
SBER,5,400,0.54,0.06051641842304938,0.4910079246678604,0.5882310640841653,-0.06718510735118724,0.008302678333599886,0.10288144361519386,0.7975,0.003844592631698043,0.9682626947687901
ROSN,1,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.020462952889895056,-0.02149675628198708,0.10827133031771163,0.78,0.004306312732843526,0.9842866822427846
ROSN,2,400,0.4475,0.9842866822427846,0.39950002860195316,0.4964987986610134,0.046201053837581094,-0.04710666096676281,0.09909324513736185,0.7825,0.004363709941648081,0.9842866822427846
ROSN,3,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.014008920901488144,-0.026254767470647138,0.08312710758375562,0.7625,0.0044794559490197285,0.9842866822427846
ROSN,5,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,-0.01661495748119465,-0.04713435581757027,0.08135776020890792,0.7825,0.004421876048198001,0.9842866822427846
MTSS,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,0.012253958311323733,-0.03277184472945852,0.0862092913268094,0.7525,0.0050718751490370865,0.9842866822427846
MTSS,2,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.05721000140797215,-0.02612464781225552,0.07720866781476,0.78,0.004944307594735539,0.9842866822427846
MTSS,3,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,0.016859167597620156,-0.053521951819446884,0.08768704486538802,0.7575,0.004795267445695722,0.9842866822427846
MTSS,5,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,-0.14106667127124076,-0.1227689673292097,0.07353748419194567,0.7875,0.004538149670213982,0.9842866822427846
