ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
GAZP,1,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.04370184835414897,0.06769176836379548,0.29415245115236544,0.825,0.013713974459632745,0.9998736384078947
GAZP,2,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,-0.023181680986051043,-0.04726350860815612,0.25993117742875527,0.8075,0.01633696220590211,0.9998736384078947
GAZP,3,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,0.09179449423363609,0.08264358293414424,0.22780803834966173,0.815,0.014676034117063355,0.9998736384078947
GAZP,5,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.041497095607877545,-0.00814024785108479,0.21556878483783012,0.8075,0.016025222135303743,0.9998736384078947
SBER,1,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,0.051383152212473394,0.04373625011840817,0.3420560854748558,0.8175,0.013005599152725384,0.9998736384078947
SBER,2,400,0.455,0.9679105891020774,0.4068577044508926,0.5039984332030787,0.0031939745263075063,-0.007354264770162386,0.3005495277081226,0.7925,0.014422105979161328,0.9998736384078947
SBER,3,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.12872638807357645,0.011733512860802792,0.25996977837584934,0.7875,0.016423437426902276,0.9998736384078947
SBER,5,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.0382071989042219,-0.060165642904123996,0.2625676092023064,0.8175,0.014088421980785493,0.9998736384078947
ROSN,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.005983803858358668,-0.0016056884503718037,0.28855031899517514,0.82,0.01433308494540733,0.9998736384078947
ROSN,2,400,0.425,0.9988758959477646,0.3774935293944863,0.4739333666954657,-0.12263017549599614,-0.1281787133499754,0.2652177348614744,0.7775,0.014208877364311069,0.9998736384078947
