ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
GAZP,1,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,0.0413749251648644,0.02873552769283972,0.18677571083665495,0.785,0.015544394112982666,0.9996063295122813
GAZP,2,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.009700561293935005,0.0616088951082457,0.15560383744822603,0.8,0.01395143449051742,0.9996063295122813
GAZP,3,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.14054072780331178,-0.00210760890627822,0.14221197728109403,0.8025,0.014870860772656766,0.9996063295122813
GAZP,5,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.024498859678737293,0.05462538553069673,0.13303002782626483,0.8325,0.013112737790749703,0.9996063295122813
SBER,1,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.027218311401702496,0.07190529194978455,0.20177697153831242,0.8125,0.013408384634670024,0.9996063295122813
SBER,2,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.021836105549688463,0.08533504111632562,0.1885844908798045,0.7725,0.013429435522084572,0.9996063295122813
SBER,3,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,-0.017694805945486947,-0.057768922588142826,0.18048426929798184,0.805,0.014368653713434822,0.9996063295122813
SBER,5,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,0.019019022247344416,0.03380865324138212,0.13986147749310424,0.7925,0.013510209528871487,0.9996063295122813
ROSN,1,400,0.455,0.9679105891020774,0.4068577044508926,0.5039984332030787,-0.012888692471687946,-0.027374909050870977,0.21410818397119144,0.79,0.012661884228074492,0.9996063295122813
ROSN,2,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,0.060823974717127444,0.04602438980452601,0.20134192784990615,0.7725,0.014439548872579191,0.9996063295122813
ROSN,3,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,0.014927287592128958,0.034100980846799175,0.16500575721258054,0.8125,0.013923095993034335,0.9996063295122813
ROSN,5,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,0.06029047629538354,0.05828701185932135,0.13022968768066867,0.7875,0.013600759454925615,0.9996063295122813
MTSS,1,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,0.016215013251488063,0.050476318474062955,0.19241280396127203,0.8275,0.010504578226224583,0.9996063295122813
MTSS,2,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.024989657524078102,0.045147166348501425,0.13696683742585514,0.77,0.011307638836974342,0.9996063295122813
MTSS,3,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.08289576555687547,0.0557693255355614,0.14776467351215217,0.825,0.011207332412659272,0.9996063295122813
MTSS,5,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,-0.002082118359437314,0.004923293866132451,0.13762335497962647,0.8025,0.010364695465907275,0.9996063295122813
LKOH,1,400,0.4175,0.9996063295122813,0.370180420494612,0.46638916520433527,0.0012353327634011064,-0.08691549735323532,0.1919954320399097,0.7925,0.012726467907621018,0.9996063295122813
LKOH,2,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.0629368998057651,0.023226073839446068,0.15241267324427027,0.7875,0.013769735955150731,0.9996063295122813
LKOH,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.044903877216211315,-0.041387591778111785,0.14882751684569007,0.7925,0.013318589021541077,0.9996063295122813
LKOH,5,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.10176837065495757,-0.029171048132982397,0.12365756849172645,0.82,0.012875827537359132,0.9996063295122813
T,1,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.06343585905801098,0.054485648322146016,0.18384538403776357,0.81,0.018457839316758238,0.9996063295122813
T,2,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,0.03825202569397833,0.09582665016162902,0.15169271290624617,0.775,0.020584817934742414,0.9996063295122813
T,3,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.11138333127997595,-0.0418801937755168,0.12938068024519167,0.805,0.02113560495506572,0.9996063295122813
T,5,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,0.035646492988844716,0.029258811502549716,0.12183506056911392,0.795,0.020290658171589423,0.9996063295122813
PLZL,1,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.16848342926136356,0.09591067280911586,0.26414619784768595,0.78,0.014471164974836298,0.9996063295122813
PLZL,2,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.0491400822625103,-0.00041664986938400007,0.2040133029510086,0.805,0.01413891691866029,0.9996063295122813
PLZL,3,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.01150126997959374,0.02061760564277603,0.1485081399481185,0.7675,0.015295061738574901,0.9996063295122813
PLZL,5,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,-0.006570630995581369,0.00918347453682225,0.13739420745612274,0.785,0.014391874464198531,0.9996063295122813
VTBR,1,400,0.44,0.9929079384040589,0.3921534019514147,0.48898811492054695,0.13178119395113955,-0.04346445803895653,0.08470668958868005,0.7575,0.01544049159778399,0.9996063295122813
VTBR,2,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.1306364770420331,-0.05126492012179953,0.08190666452499518,0.7875,0.01509935999115003,0.9996063295122813
VTBR,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.08212730321137204,-0.01813867279941204,0.07339671453729957,0.7825,0.016979246295146612,0.9996063295122813
VTBR,5,400,0.455,0.9679105891020774,0.4068577044508926,0.5039984332030787,-0.2093591983256518,-0.030101968424759696,0.06915870601492105,0.805,0.014821736886549355,0.9996063295122813
GMKN,1,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,0.0822520618618261,0.03375630568062747,0.12114994615956406,0.8075,0.011983086491907727,0.9996063295122813
GMKN,2,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.021159736360646178,0.018406298919826636,0.1266528886399345,0.765,0.01368680464655636,0.9996063295122813
GMKN,3,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,-0.0014330624854196328,0.07073878482222476,0.09670664029324033,0.805,0.012870324068978652,0.9996063295122813
GMKN,5,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,0.0036355014508264033,0.054539403076543334,0.0827898057164366,0.7825,0.013537168474558317,0.9996063295122813
