ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
GAZP,1,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,0.05216180330563635,0.017101395763978205,0.1771329372819191,0.78,0.015573019495711032,0.9998736384078947
GAZP,2,400,0.5225,0.19767637700452917,0.4735685130017636,0.5710034181712508,0.009728684357828579,0.07795980267516389,0.14846560545729284,0.7975,0.013938322492533732,0.9998736384078947
GAZP,3,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.1264769251136077,-0.0029420270230876575,0.14880598309530377,0.81,0.014871501739172135,0.9998736384078947
GAZP,5,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.0013292037904679358,0.07028988302775792,0.1306631636208549,0.8275,0.01308291101060338,0.9998736384078947
SBER,1,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.0677020401698505,0.06596381230923486,0.19572174589455568,0.805,0.013435948914959623,0.9998736384078947
SBER,2,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.00834051498110894,0.06485141727794295,0.18567852735739276,0.78,0.013489266065562227,0.9998736384078947
SBER,3,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,-0.021443480696364516,-0.04551150796190135,0.18401532783161204,0.7975,0.014364016897495788,0.9998736384078947
SBER,5,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.02291712221145863,0.037477280310006085,0.13967122018533534,0.79,0.01350763457333902,0.9998736384078947
ROSN,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.02399025376550546,-0.03695203475045012,0.21962071811473158,0.7875,0.012662271945066618,0.9998736384078947
ROSN,2,400,0.5325,0.10562313004912738,0.48352660176021306,0.5808550766008076,0.05526602100387174,0.056390127644314274,0.20048629349240976,0.7625,0.014472307153399524,0.9998736384078947
ROSN,3,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,0.03376914768775503,0.06341174541920008,0.16665589783062806,0.8075,0.013878510891477493,0.9998736384078947
ROSN,5,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.06024574391738679,0.055227603770812865,0.1383901092799115,0.785,0.013593695154099184,0.9998736384078947
MTSS,1,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.011916401950693555,0.05820060176365717,0.20575411608634542,0.825,0.010534274942266313,0.9998736384078947
MTSS,2,400,0.525,0.17106119804202574,0.4760562161165593,0.5734681518534566,0.025016564616287547,0.06571640480174032,0.14915464906647552,0.765,0.011283462631382588,0.9998736384078947
MTSS,3,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.06727760474578598,0.0766396946530047,0.1583193628160232,0.825,0.011224386385663915,0.9998736384078947
MTSS,5,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.015522981944648321,-0.010450748793990937,0.14445451842361332,0.8,0.010370661573630586,0.9998736384078947
LKOH,1,400,0.41,0.9998736384078947,0.36287863529353875,0.4588336400144037,-0.007170391409814044,-0.09083189118457864,0.1875953018403791,0.7825,0.01275970944992119,0.9998736384078947
LKOH,2,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.06935826025489032,0.003018930196706751,0.15072268909744135,0.78,0.013891641073187976,0.9998736384078947
LKOH,3,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.05510256367312923,-0.05286647759692826,0.15199492034010964,0.7925,0.013369734327170778,0.9998736384078947
LKOH,5,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.09459593449709072,-0.02082130156315167,0.11667230309138744,0.82,0.012878592807264132,0.9998736384078947
T,1,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.054342336991224496,0.040036872349279634,0.16375886696850422,0.805,0.018524260166386544,0.9998736384078947
T,2,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.04017688532078006,0.0936392201552975,0.149776189533377,0.775,0.020608972632519845,0.9998736384078947
T,3,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.1382840879724879,-0.03755376079728761,0.12475691532645637,0.8,0.021202016747239334,0.9998736384078947
T,5,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,0.04320896201899574,0.028896327556601716,0.12839218656476892,0.79,0.020309068449576848,0.9998736384078947
PLZL,1,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,0.16331984969919222,0.10819051515341757,0.2823790225805075,0.775,0.01447394215976185,0.9998736384078947
PLZL,2,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.04748335630701507,0.0016508485373792697,0.20892044303277002,0.805,0.014203996744640356,0.9998736384078947
PLZL,3,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.005533734940442531,0.024644971031898246,0.16189775443798982,0.7725,0.015299117583443364,0.9998736384078947
PLZL,5,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,-0.01109523212208373,0.017435307183000074,0.1451126068605906,0.7825,0.014418317274486564,0.9998736384078947
VTBR,1,400,0.4375,0.9946590981686902,0.3897069912730114,0.4864820888019487,0.1672534866476051,-0.023022078211283516,0.08775881350394492,0.76,0.01538682383455345,0.9998736384078947
VTBR,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.15905838672308698,-0.045485185420251484,0.08665616853998022,0.79,0.015205022204013565,0.9998736384078947
VTBR,3,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.10990053077901939,-0.03582205988616465,0.07199769948842186,0.78,0.017073686570050067,0.9998736384078947
VTBR,5,400,0.4525,0.974479888435426,0.40440392129266217,0.5014997795643075,-0.22348189404822358,-0.04322898401124747,0.06631637581538663,0.8075,0.014889715844244587,0.9998736384078947
GMKN,1,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,0.06726895613272268,0.037899068333573975,0.12650146233916904,0.81,0.012043853306333849,0.9998736384078947
GMKN,2,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.023572381877399885,0.024459411068038218,0.13380113213779674,0.7625,0.01372123261578197,0.9998736384078947
GMKN,3,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.013774286316689156,0.06215058470176724,0.10137287902464875,0.8025,0.01289349869508493,0.9998736384078947
GMKN,5,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,0.015480866703351089,0.06299369123180004,0.09166535181439303,0.79,0.01353524445264456,0.9998736384078947
MAGN,1,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.03758308246292554,0.03649849105579994,0.254453347321288,0.775,0.015219207921916039,0.9998736384078947
MAGN,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.01035466752888355,-0.0003392177816562706,0.1922149696815248,0.7775,0.01523792446154301,0.9998736384078947
