ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
BANEP,1,400,0.51,0.36319345759156024,0.4611481516482723,0.558661595539734,0.03948595647644761,0.006802123803007941,0.21336579758786955,0.78,0.005785567493544361,0.9970544752784131
BANEP,2,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,-0.015499383456069478,-0.07168885542100845,0.18513325760467889,0.8,0.0054471822618237945,0.9970544752784131
BANEP,3,400,0.4775,0.8289388019579745,0.4289965818287492,0.5264314869982364,0.032093127454575376,0.011693490215175802,0.14874453007618216,0.775,0.005784468120628605,0.9970544752784131
BANEP,5,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.06371794308299268,-0.1340966857734127,0.17980868783788811,0.7925,0.005498361793338822,0.9970544752784131
CHMF,1,400,0.53,0.12505616143816317,0.48103525950149856,0.5783939820625206,-0.09447767173742135,-0.029369473214605445,0.18293523798598635,0.78,0.005649150503938145,0.9970544752784131
CHMF,2,400,0.545,0.03999422712871025,0.4960015667969213,0.5931422955491075,0.02784140722812725,0.001250833216991669,0.19122234143524364,0.8025,0.005200570330576141,0.959861451089046
CHMF,3,400,0.4975,0.5596055982095516,0.44875800198627125,0.5462895612167272,-0.026593817909340064,0.001506767963523552,0.15749549365788368,0.7825,0.005510855074799686,0.9970544752784131
CHMF,5,400,0.5725,0.00215686433574367,0.5235544015629189,0.6200662655501273,-0.02827641234077987,0.010129548646577358,0.16443489633123598,0.79,0.005142164035842202,0.10352948811569615
FESH,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.13749450510453345,-0.062298592879017387,0.12848037102533688,0.7775,0.008363711487936848,0.9970544752784131
FESH,2,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,0.0036966001359382103,-0.03797526030378381,0.1579752061513048,0.8125,0.006958507895865796,0.9970544752784131
FESH,3,400,0.485,0.7421284715039852,0.4363980471740593,0.5338873320439311,0.012468956427456017,-0.031587941035151695,0.15750863313204566,0.8325,0.007050475826176961,0.9970544752784131
