ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
SBER,1,400,0.5,0.5199346509818965,0.4512336165999552,0.5487663834000448,0.040302245563595594,0.007013348077499296,0.18827025154617882,0.7975,0.003755384897760353,0.9600057728712897
SBER,2,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,-0.06729576538566447,-0.06864574339131078,0.16993198936362916,0.79,0.0036565359543257723,0.9600057728712897
SBER,3,400,0.515,0.291187239767031,0.46611266795606887,0.5636019528259407,-0.09290803549041565,-0.0021352668485928507,0.16139182331578217,0.7925,0.003955687462433169,0.9600057728712897
SBER,5,400,0.5175,0.2578715284960148,0.4685967396420818,0.5660703179369293,-0.05675396453178058,-0.0468087131000648,0.17298792995435885,0.8,0.0035878322355603013,0.9600057728712897
SBERP,1,400,0.495,0.5986873729536268,0.44628359498707637,0.5438115314189205,0.045890244246403374,-0.0021270252584585946,0.18548223160834876,0.7725,0.0037416684627396947,0.9600057728712897
SBERP,2,400,0.485,0.7421284715039852,0.4363980471740593,0.5338873320439311,-0.08286554811106145,-0.07628852718996214,0.16556043551291502,0.785,0.0036383973883704814,0.9600057728712897
SBERP,3,400,0.525,0.17106119804202546,0.4760562161165593,0.5734681518534566,-0.061186320082725905,0.015874426597448144,0.16125605291103123,0.795,0.00391664568871107,0.9600057728712897
SBERP,5,400,0.4875,0.708812760232969,0.4388676214712341,0.536370194543758,-0.056431660633258364,-0.058810442881842756,0.168297419506778,0.805,0.0035777060540915836,0.9600057728712897
T,1,400,0.505,0.4403944017904485,0.4561884685810796,0.5537164050129236,0.0022384688663395587,0.035319210386506525,0.1896470478059915,0.7975,0.004543941008491006,0.9600057728712897
T,2,400,0.5,0.5199346509818965,0.4512336165999552,0.5487663834000448,-0.02031322378486112,-0.026560939916979744,0.1783991374242867,0.83,0.004365984774631203,0.9600057728712897
T,3,400,0.5075,0.40131262704637316,0.458667706127959,0.5561896042630459,0.01303832300744844,0.031757775989853534,0.15257289573111993,0.7775,0.004961965266741959,0.9600057728712897
T,5,400,0.4575,0.9600057728712897,0.40931270985864554,0.5064958645923273,-0.036838584234399445,-0.10180593616623125,0.18496927405677638,0.815,0.004395839995712157,0.9600057728712897
VTBR,1,400,0.52,0.22664810827100504,0.4710820210989227,0.5685374732770901,-0.04245628100817286,-0.013901530854879713,0.17174052335196843,0.8025,0.004973920448602367,0.9600057728712897
VTBR,2,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.0030426288543984326,-0.040215900443980775,0.16723276948040738,0.8125,0.004679243623600428,0.9600057728712897
VTBR,3,400,0.525,0.17106119804202546,0.4760562161165593,0.5734681518534566,0.016009930424723907,0.04987309438918567,0.15323472149495318,0.7875,0.0051907389363129875,0.9600057728712897
VTBR,5,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.0025857305925461468,-0.05385096430632413,0.15711706917698448,0.835,0.004664555519466928,0.9600057728712897
MOEX,1,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,-0.0557051446278907,-0.020355368153962498,0.14899821700942045,0.7875,0.005112015329589263,0.9600057728712897
MOEX,2,400,0.485,0.7421284715039852,0.4363980471740593,0.5338873320439311,-0.04465895220576781,-0.015365922942577902,0.15940875362371748,0.8125,0.0045496603242148196,0.9600057728712897
MOEX,3,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,-0.012499225866771144,-0.01395867345409402,0.11515316879432697,0.775,0.005232179270078098,0.9600057728712897
MOEX,5,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,0.0022166024353383624,-0.057843790752271446,0.149124091614237,0.8175,0.004500203643076854,0.9600057728712897
BSPB,1,400,0.49,0.6736177011466651,0.4413384044602659,0.5388518483517277,-0.07399519548118974,-0.009409771011750149,0.15682842138157482,0.8025,0.005089684162232872,0.9600057728712897
BSPB,2,400,0.515,0.291187239767031,0.46611266795606887,0.5636019528259407,-0.08499313674072109,-0.050873216804430986,0.14909273187537497,0.7775,0.0051229915037454285,0.9600057728712897
BSPB,3,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,-0.00927492418021692,0.017373154186803262,0.14398272203730134,0.805,0.004987624552383905,0.9600057728712897
BSPB,5,400,0.48,0.8023236229954712,0.43146252672290986,0.5289179789010773,0.020109935916220626,-0.07985931780480028,0.14219860189463726,0.77,0.004959850146980424,0.9600057728712897
CBOM,1,400,0.4575,0.9600057728712897,0.40931270985864554,0.5064958645923273,0.11032112835730891,0.0009972420450968622,0.16490944695400406,0.8225,0.005238508389120289,0.9600057728712897
CBOM,2,400,0.51,0.36319345759156024,0.4611481516482723,0.558661595539734,0.02680685275246159,0.021990356947444303,0.15928729195220864,0.8,0.005572612725181994,0.9600057728712897
CBOM,3,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,0.030083163704000906,0.029101552572873716,0.13424920528484163,0.79,0.005588715838980347,0.9600057728712897
CBOM,5,400,0.485,0.7421284715039852,0.4363980471740593,0.5338873320439311,0.08103946739018801,-0.0267768522533952,0.15696501180625405,0.81,0.005492691181683682,0.9600057728712897
