ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
SBER,1,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.06514478820273416,-0.02982679785211694,0.08334318418816056,0.7225,0.0039299335463383565,0.974479888435426
SBER,2,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.031682849613682826,-0.01881909796970645,0.08870598207648478,0.7625,0.004157239488996736,0.974479888435426
SBER,3,400,0.525,0.17106119804202574,0.4760562161165593,0.5734681518534566,-0.07588670113517115,-0.00017212652762352572,0.09478391941892714,0.755,0.003938864325433784,0.974479888435426
SBER,5,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,-0.0804379815525293,-0.006493847406120791,0.10072423995123365,0.785,0.0038583229826524503,0.974479888435426
SBERP,1,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.03560744140775705,-0.010769803730497055,0.07941559018663885,0.735,0.003925811118242619,0.974479888435426
SBERP,2,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.034994440369606285,-0.02482844043992945,0.0836586315935447,0.7625,0.00412641433605961,0.974479888435426
SBERP,3,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,-0.06002500842523732,-0.0009877577940276727,0.08863114695997845,0.7625,0.003914809874324885,0.974479888435426
SBERP,5,400,0.54,0.06051641842304938,0.4910079246678604,0.5882310640841653,-0.06120696039107254,0.0017951379025544633,0.08970276559630588,0.785,0.003840458601697801,0.974479888435426
T,1,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.05814159532910705,-0.020811622138342145,0.0997061103606064,0.785,0.004847063139722799,0.974479888435426
T,2,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.06716516002169465,-0.12353444820558264,0.10918634901982402,0.795,0.004707407432536192,0.974479888435426
T,3,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.01898805869866311,-0.012216015401036303,0.09945835157752589,0.79,0.004727464526467357,0.974479888435426
T,5,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,0.008619868742894821,-0.05991399232868385,0.11759586921441902,0.8025,0.004769224871947992,0.974479888435426
VTBR,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.08915805536466137,-0.06161412748037179,0.08851184939993721,0.7875,0.004913106216777046,0.974479888435426
VTBR,2,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.07936933762963018,-0.058070310121490616,0.11275697049997738,0.8,0.004786512843836016,0.974479888435426
VTBR,3,400,0.4525,0.974479888435426,0.40440392129266217,0.5014997795643075,-0.09990772640318102,-0.06639868101284412,0.10211385560775041,0.7625,0.005021375598009439,0.974479888435426
VTBR,5,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,-0.13098508939475556,-0.12304209640793339,0.11237059744954792,0.79,0.004844304759998818,0.974479888435426
MOEX,1,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.011775841378992588,0.011859281077155706,0.10989369812040956,0.7975,0.004498183567459808,0.974479888435426
MOEX,2,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.08254939188032226,-0.07669006253060653,0.09809983391717636,0.78,0.005149794604628797,0.974479888435426
MOEX,3,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,0.0018851010984301518,-0.04712703538477416,0.08435368309569796,0.765,0.004756713968937299,0.974479888435426
MOEX,5,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.0079672396860061,-0.06506203013337017,0.073569947273118,0.775,0.00517524901031964,0.974479888435426
BSPB,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.058017404825486465,-0.06744059853554436,0.07314263869947765,0.785,0.005202398995961619,0.974479888435426
BSPB,2,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.06491126704306815,-0.07045625640437386,0.08191706952611172,0.78,0.005130507981567656,0.974479888435426
BSPB,3,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,-0.018268770457067963,-0.007934500108175594,0.07245532222983483,0.7775,0.005046720891492451,0.974479888435426
BSPB,5,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,-0.04300351810968417,-0.03253429634026924,0.07883505364062773,0.795,0.00486076970178571,0.974479888435426
CBOM,1,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,0.052894869469943054,-0.05274092999502108,0.09929472570560507,0.8175,0.005245269327822426,0.974479888435426
CBOM,2,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,0.12881308933091204,0.07204724211181948,0.09136868235552745,0.7825,0.005561637920279694,0.974479888435426
CBOM,3,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,0.14261675887144237,0.03230322252384076,0.1006971110967122,0.7925,0.0053145629217905156,0.974479888435426
CBOM,5,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.06552885150874718,0.03290173243669302,0.11105343043373789,0.7925,0.005292082603237655,0.974479888435426
