ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
SBER,1,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.09784454234415436,-0.06733918759836777,0.08084787041791061,0.735,0.003948751505729744,0.9799370991892573
SBER,2,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.03978064129043819,-0.021513312917042112,0.0883508773827601,0.7725,0.0041615254370567425,0.9799370991892573
SBER,3,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,-0.08373091451218345,-0.013081803601052032,0.09015481441696596,0.7575,0.003945283749848511,0.9799370991892573
SBER,5,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,-0.08018880268064998,-0.019043819009053782,0.0955877884357269,0.7825,0.003860540123904596,0.9799370991892573
SBERP,1,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.07956423110370313,-0.05630491303103015,0.07156098057893318,0.7375,0.0039426815877121575,0.9799370991892573
SBERP,2,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.031880392905137604,-0.02614489135128332,0.07840642922825491,0.765,0.004131871679900728,0.9799370991892573
SBERP,3,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,-0.07298066642017834,-0.010217518122617687,0.08595976837393163,0.755,0.003920254977909564,0.9799370991892573
SBERP,5,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,-0.066734930349953,-0.012378088967519893,0.0884711297085632,0.7875,0.0038398984639373564,0.9799370991892573
T,1,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.06559822858305173,-0.024795481946740392,0.08243170829268875,0.7875,0.004822188564898121,0.9799370991892573
T,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.06311623675173277,-0.13186611157925127,0.10664287875745374,0.8,0.004706393919768315,0.9799370991892573
T,3,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.008401880432360084,-0.02371126883062806,0.09509301860218902,0.7875,0.004735716352151941,0.9816466467350821
T,5,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.015268603970286869,-0.08983161284086444,0.11362126844497203,0.7975,0.004779658363651106,0.9799370991892573
VTBR,1,400,0.445,0.9878360845980799,0.3970499227484684,0.4939964677174965,-0.10500220297829968,-0.08349740119430721,0.085444238931184,0.7825,0.004907436276275726,0.9946590981686902
VTBR,2,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.05488239779529236,-0.03592094516726337,0.1077146383810551,0.805,0.004786027715167757,0.9799370991892573
VTBR,3,400,0.4375,0.9946590981686902,0.3897069912730114,0.4864820888019487,-0.08066946419953067,-0.07177430253683319,0.09212775063309164,0.76,0.005016936349033943,0.9946590981686902
VTBR,5,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.12701899574747133,-0.12001863901177652,0.10696282322646936,0.7825,0.004844451135715938,0.9799370991892573
MOEX,1,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.0006818526281951995,0.01592796943165523,0.10718366589141402,0.8,0.004488904601433094,0.9799370991892573
MOEX,2,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.07799178698682006,-0.08050225761737352,0.08966389291076637,0.77,0.005146863798504229,0.9799370991892573
MOEX,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.05275843710604016,-0.07086272610894884,0.08784239162561912,0.7925,0.0047624295461065735,0.9799370991892573
MOEX,5,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,0.018177669383887617,-0.0571537857928605,0.0736930777144971,0.7775,0.005181877506098533,0.9799370991892573
BSPB,1,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.03381868043757849,-0.06240992888833392,0.06959869221396651,0.79,0.00519320522419665,0.9799370991892573
BSPB,2,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.06206758860279513,-0.0675691106530125,0.08026184047794505,0.79,0.005129818512872556,0.9799370991892573
BSPB,3,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,-0.014548409528308525,-0.007238213364037066,0.06957006673337529,0.785,0.005047735035158523,0.9799370991892573
BSPB,5,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,-0.03993469966835209,-0.021189714801084444,0.0744874862539523,0.81,0.004860934409153066,0.9799370991892573
CBOM,1,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,0.04985254697940925,-0.04320388948108038,0.09410761929790942,0.825,0.00528119360907399,0.9799370991892573
CBOM,2,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,0.14615911340992405,0.08496591828033821,0.09275895098628503,0.795,0.005563446735250984,0.9799370991892573
CBOM,3,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,0.15322554507193942,0.05778376954675575,0.09577322843665968,0.805,0.005322703513402496,0.9799370991892573
CBOM,5,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.08457943948215411,0.04659620925219348,0.11634635911446736,0.7875,0.0053169408155161425,0.9799370991892573
