ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
SBER,1,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.05480122627863068,0.05982616631736827,0.3504311708371979,0.81,0.012931360894167404,0.9999435929609349
SBER,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.009739155098278024,-0.02298852300609134,0.3145695576442928,0.7975,0.014563270832611538,0.9999435929609349
SBER,3,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.12166267018345284,0.02490392398852259,0.25459049256990807,0.78,0.01637232259438753,0.9999435929609349
SBER,5,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.030198946782648485,-0.04790161931913201,0.27933626475402007,0.805,0.01416946890975967,0.9999435929609349
SBERP,1,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.12636810177343716,0.11599210522373142,0.34087559041799453,0.84,0.011202515231683563,0.9999435929609349
SBERP,2,400,0.4475,0.9842866822427846,0.39950002860195316,0.4964987986610134,-0.0407346827148169,-0.03362362127574459,0.3139965612960711,0.79,0.01308136091446587,0.9999435929609349
SBERP,3,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,0.10879374903330678,0.03715740353164017,0.26652229225703566,0.76,0.014868453724102495,0.9999435929609349
SBERP,5,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.05367165549655017,-0.06230140652277449,0.3246349424320304,0.805,0.012696068488793882,0.9999435929609349
T,1,400,0.4575,0.96000577287129,0.40931270985864554,0.5064958645923273,0.08369033714794319,0.05322860677202556,0.31984665655672484,0.8175,0.020736674635135923,0.9999435929609349
T,2,400,0.435,0.9960150847120994,0.3872618167504356,0.4839748265275229,-0.0689103776973726,-0.08100094591888185,0.2931010050630054,0.7775,0.02142910805787238,0.9999435929609349
T,3,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,0.12676270610466434,0.09207654799162929,0.27609611851462035,0.8,0.022612770386072636,0.9999435929609349
T,5,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,-0.022682204106809024,-0.012170870493391325,0.3362421976343932,0.8125,0.020462937068257712,0.9999435929609349
VTBR,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,0.10428982737552804,0.05207045335896962,0.28354838419538747,0.825,0.014713468923676882,0.9999435929609349
VTBR,2,400,0.405,0.999943592960935,0.35801711355168203,0.45379028816225736,-0.13137654430516485,-0.18301624394009355,0.3189175215647899,0.81,0.01518548367757739,0.9999435929609349
VTBR,3,400,0.455,0.9679105891020774,0.4068577044508926,0.5039984332030787,0.07841867656804061,-0.003835166416971626,0.244801520093258,0.7875,0.01757155047861938,0.9999435929609349
VTBR,5,400,0.4575,0.96000577287129,0.40931270985864554,0.5064958645923273,-0.14590205362240571,-0.1255098352794884,0.2623044620458681,0.8175,0.015135147611285857,0.9999435929609349
MOEX,1,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,-0.029387143306428602,-0.0048276757204370226,0.3660232456480846,0.7875,0.013331232347617303,0.9999435929609349
MOEX,2,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.07049393802658444,-0.03482504418014726,0.28259457122186327,0.79,0.013294538698687977,0.9999435929609349
MOEX,3,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.11580193358928609,0.09940567362519792,0.25530276035816596,0.8,0.013761543300936268,0.9999435929609349
MOEX,5,400,0.4575,0.96000577287129,0.40931270985864554,0.5064958645923273,-0.047783281206525786,-0.04365122433563924,0.2906677883846151,0.8225,0.012825503773197109,0.9999435929609349
BSPB,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,0.007310447586167984,-0.00788424344088904,0.3018785285083353,0.835,0.015833590212633288,0.9999435929609349
BSPB,2,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,-0.11514682840937296,0.020758801570609584,0.265678070030427,0.825,0.016127938690418706,0.9999435929609349
BSPB,3,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,0.1375208593955607,0.055719254175818335,0.2775825583079645,0.8025,0.01793643992402664,0.9999435929609349
BSPB,5,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,0.04062906135440265,0.06625185761180588,0.21908637369425277,0.8175,0.016216804081592394,0.9999435929609349
CBOM,1,400,0.535,0.08847097088885246,0.4860191592087707,0.5833149559492518,0.0888442557653264,0.10256120872480554,0.34492941385899445,0.8275,0.01014542384776719,0.9999435929609349
CBOM,2,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.1477970059496949,-0.003316835101588497,0.3283123821720567,0.8125,0.010680813032907865,0.9999435929609349
CBOM,3,400,0.4575,0.96000577287129,0.40931270985864554,0.5064958645923273,0.05348476849649507,-0.003950989956110276,0.25786026046222565,0.7625,0.011964033385374957,0.9999435929609349
CBOM,5,400,0.5325,0.10562313004912738,0.48352660176021306,0.5808550766008076,-0.02207172190354726,0.037685280520464985,0.28220778569293303,0.8125,0.010523805323764658,0.9999435929609349
