ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
SBER,1,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.009270190993151276,0.04897961104047042,0.19456595977547742,0.8,0.013466595202232206,0.9929079384040589
SBER,2,400,0.525,0.17106119804202574,0.4760562161165593,0.5734681518534566,0.0629551244842113,0.09998795249294337,0.15736441545794289,0.7775,0.013374098597164524,0.9929079384040589
SBER,3,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,-0.06875679184439465,-0.059581391243666425,0.16969961491130942,0.8025,0.014371702648835112,0.9929079384040589
SBER,5,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.0744162023455338,0.022799303106260563,0.12762949004872315,0.7875,0.013452786427868433,0.9929079384040589
SBERP,1,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.017685648001072297,0.050508952325212055,0.22625738236236065,0.8025,0.012332827781079372,0.9929079384040589
SBERP,2,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.07956593688834433,0.1052723462295965,0.1828289452476637,0.7825,0.012151394991623828,0.9929079384040589
SBERP,3,400,0.45,0.9798846301596811,0.40195136207927884,0.4989999019806892,-0.1016340965262118,-0.05625337552542096,0.1966649847653495,0.79,0.013118979818255043,0.9929079384040589
SBERP,5,400,0.5225,0.19767637700452917,0.4735685130017636,0.5710034181712508,0.07592475901232218,0.05502003054490095,0.16372909070549066,0.78,0.012345720236090459,0.9929079384040589
T,1,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.06273032619801613,0.06513586694865203,0.1568280637012362,0.8175,0.01835032632218087,0.9929079384040589
T,2,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.033045050049574795,0.06751964805380291,0.1351443777810044,0.7825,0.020616447842487687,0.9929079384040589
T,3,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.059712172281220645,-0.008187705495165102,0.11182172892606257,0.7975,0.020995511792000193,0.9929079384040589
T,5,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,0.06541899271960072,0.061340234673184946,0.10754223309987138,0.785,0.020232653447399065,0.9929079384040589
VTBR,1,400,0.445,0.9878360845980799,0.3970499227484684,0.4939964677174965,0.20040644925762705,0.025397380924461834,0.08104368213314417,0.76,0.015310054990158686,0.9929079384040589
VTBR,2,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.0870124600103917,-0.015385185921255961,0.08022704625538798,0.7775,0.01514145344130449,0.9929079384040589
VTBR,3,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.0853211588527407,-0.009762578277672218,0.07046335488070449,0.7775,0.017014671972914105,0.9929079384040589
VTBR,5,400,0.44,0.9929079384040589,0.3921534019514147,0.48898811492054695,-0.24286594987172475,-0.0595887881857696,0.06780583825919978,0.805,0.014934918214108852,0.9929079384040589
MOEX,1,400,0.5225,0.19767637700452917,0.4735685130017636,0.5710034181712508,-0.04055578914793798,0.006830598292852235,0.15288668851071763,0.8075,0.011738248810257274,0.9929079384040589
MOEX,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.043063904589215864,-0.045690870694957655,0.1343780523616755,0.765,0.01299609225459318,0.9929079384040589
MOEX,3,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.0061464947087504305,0.0314985051119996,0.12981175931208694,0.81,0.012518454037747307,0.9929079384040589
MOEX,5,400,0.4475,0.9842866822427846,0.39950002860195316,0.4964987986610134,0.030827362688207825,-0.016369685389921774,0.12639210335376444,0.7875,0.012826107817740342,0.9929079384040589
BSPB,1,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.11647694523210986,-0.001636799854150903,0.0988355195135131,0.79,0.01704645566665179,0.9929079384040589
BSPB,2,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.020198573393297004,-0.010559890818952252,0.10266490532144204,0.7875,0.01645956586405737,0.9929079384040589
BSPB,3,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.1435474138974041,0.016685174671472847,0.1027449782046899,0.81,0.016204372240921965,0.9929079384040589
BSPB,5,400,0.4575,0.96000577287129,0.40931270985864554,0.5064958645923273,-0.014500469035989496,-0.05308980580457817,0.08777662174007822,0.805,0.015985556149260196,0.9929079384040589
CBOM,1,400,0.5425,0.04941089345828238,0.49350413540767263,0.5906872901413545,0.07122952291071316,0.11216643386329354,0.15764552839793547,0.78,0.010669160790747012,0.9929079384040589
CBOM,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.04770843952511024,-0.0020255338830919333,0.12348686240692175,0.7475,0.011413329271701435,0.9929079384040589
CBOM,3,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.06592871312587183,-0.0018740219984836864,0.113207128294124,0.76,0.011445570132874425,0.9929079384040589
CBOM,5,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,0.012406740962441105,-0.039329535037779965,0.10372553814445655,0.7525,0.011326063812879253,0.9929079384040589
