ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
PLZL,1,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.055746613920816,-0.04738762522879929,0.2525424694117667,0.8125,0.004555842331873026,0.979654947768515
PLZL,2,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.0022945589969591883,-0.0168107263971606,0.22300384033937523,0.825,0.004609852507976758,0.979654947768515
PLZL,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.05078569654668014,-0.0474536244388192,0.22027721729770627,0.8075,0.005129394534508169,0.979654947768515
PLZL,5,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.03090698241714307,-0.009153072223472832,0.2296003099015254,0.83,0.004541578077070021,0.979654947768515
GMKN,1,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.05910716645238199,-0.02237003346298055,0.3072236358087148,0.8225,0.005153009746348885,0.979654947768515
GMKN,2,400,0.5225,0.19767637700452917,0.4735685130017636,0.5710034181712508,0.14624830365418207,0.14408487018524685,0.24794737710306214,0.805,0.0053820318568781065,0.8380824676120492
GMKN,3,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.08485587166547603,-0.07918411896995442,0.2950905306440656,0.805,0.005485008747372202,0.979654947768515
GMKN,5,400,0.545,0.039994227128710064,0.4960015667969213,0.5931422955491075,0.10004615736083174,0.18968848747314565,0.24769451913945967,0.8,0.00530128769192847,0.786713439499642
MAGN,1,400,0.54,0.06051641842304938,0.4910079246678604,0.5882310640841653,0.038094692113359495,0.07658648908728262,0.2887414819076898,0.8075,0.004663830037681445,0.786713439499642
MAGN,2,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.0847574499974651,0.11247430036158053,0.30300825406820253,0.8225,0.005123210355122845,0.979654947768515
MAGN,3,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.017419685322373774,-0.011499753504335427,0.2849841600181373,0.845,0.004970828987917243,0.979654947768515
MAGN,5,400,0.5225,0.19767637700452917,0.4735685130017636,0.5710034181712508,0.011507419288908414,0.09886328704037028,0.272832202065445,0.835,0.00509362414582196,0.8380824676120492
ALRS,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,0.05425653566924452,-0.05464883860608354,0.27439725452789687,0.8275,0.005397399979257417,0.9886126708033862
ALRS,2,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,0.0055847447514460755,0.019618357968311247,0.2192239583304136,0.825,0.005907962941097974,0.9886126708033862
ALRS,3,400,0.545,0.039994227128710064,0.4960015667969213,0.5931422955491075,0.021076878467684208,0.014982530101264852,0.208986154478162,0.835,0.006063876934063861,0.786713439499642
ALRS,5,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,0.10904422135436695,0.01608937856162496,0.22476563258721988,0.8275,0.0058055006175971695,0.9886126708033862
NLMK,1,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.08815926963875977,0.06622560764314885,0.3574927293543012,0.8175,0.005354258736811941,0.8380824676120492
NLMK,2,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.11033140040346008,0.0732021817770667,0.29586264542745877,0.8275,0.005799691399840646,0.979654947768515
NLMK,3,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.022238475532202925,-0.02349745813053686,0.2523203398177181,0.805,0.006253404154370557,0.979654947768515
NLMK,5,400,0.4525,0.974479888435426,0.40440392129266217,0.5014997795643075,0.020283415549844266,-0.028177272105552032,0.29461889753260817,0.8225,0.00592920189257109,0.9935873372282775
CHMF,1,400,0.5225,0.19767637700452917,0.4735685130017636,0.5710034181712508,0.013545407901033027,0.04500817425961416,0.28402401115637776,0.8325,0.005055133809638659,0.8380824676120492
CHMF,2,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,0.048357127691574825,-0.010925192236830653,0.2533972198589881,0.8225,0.005619949717192703,0.979654947768515
CHMF,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.03769965854267506,-0.027624950645572553,0.23321074355100468,0.8,0.0057789609930993645,0.979654947768515
CHMF,5,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,0.060966313287469986,-0.01439135839760865,0.2276533435940825,0.825,0.0055395200308276426,0.9886126708033862
RUAL,1,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,0.03271842961545592,0.005702969778510567,0.25490639576790397,0.8125,0.005719119637809529,0.979654947768515
RUAL,2,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.028433068088648983,0.027313872010282843,0.2429029540432199,0.8125,0.0055912927315312656,0.979654947768515
RUAL,3,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.11095788294757271,-0.11871051745621862,0.24575370717125403,0.8175,0.005778604653675223,0.9886126708033862
RUAL,5,400,0.5425,0.04941089345828238,0.49350413540767263,0.5906872901413545,0.12018361020597472,0.1515433563491176,0.22370295937638748,0.8125,0.005546234314669915,0.786713439499642
MTLR,1,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,0.07899224771383916,0.04325882619924549,0.2910742923578008,0.83,0.006840710755715054,0.979654947768515
MTLR,2,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,-0.0625810196877837,0.009319219939625378,0.27625496288206086,0.8175,0.00789225536800075,0.8412075815491996
MTLR,3,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.1180262965500153,0.06228330849500517,0.2881119387629839,0.8325,0.007129855317588109,0.8380824676120492
MTLR,5,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,-0.04248314636690237,0.020612834993416287,0.2719797819367382,0.825,0.007833418472465043,0.8380824676120492
MTLRP,1,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.09843698493982751,0.06731701602714078,0.28185341621520776,0.8075,0.007534057169205907,0.979654947768515
MTLRP,2,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,-0.008765872578053975,0.030811566382077216,0.25718425780177934,0.805,0.008785305731336332,0.8380824676120492
MTLRP,3,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.13555733433063616,0.07966616581159915,0.279669733652948,0.835,0.008178036996956803,0.979654947768515
