ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
PLZL,1,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.11040483180128736,-0.054603726511490376,0.08139136987791573,0.79,0.004434433774832941,0.9890669479394678
PLZL,2,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,0.03714605271816368,0.017893642030809096,0.07840436956033704,0.8225,0.004356784516982317,0.9890669479394678
PLZL,3,400,0.525,0.17106119804202574,0.4760562161165593,0.5734681518534566,0.0633116163781237,0.008099308213781345,0.06643400507867474,0.7775,0.004619593773817582,0.9890669479394678
PLZL,5,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.03369314934084399,-0.05622677912999971,0.06590428843423857,0.8075,0.004670968454520082,0.9890669479394678
GMKN,1,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.05090251451408498,-0.052149244273100775,0.10656289330503532,0.7575,0.005612201068491085,0.9890669479394678
GMKN,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.04585175141936223,-0.09389475496362319,0.10133474052969599,0.7925,0.0052508993411618885,0.9890669479394678
GMKN,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.07652684484851126,-0.10753506327131217,0.09492366060954466,0.805,0.00516035428133613,0.9890669479394678
GMKN,5,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.028508053691146618,-0.10238435576006912,0.09231862338529334,0.8,0.005064151627060826,0.9890669479394678
MAGN,1,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.13268815088703273,0.07706760899464968,0.17883641465940975,0.76,0.004797650489265171,0.9890669479394678
MAGN,2,400,0.535,0.08847097088885246,0.4860191592087707,0.5833149559492518,-0.040314606429467804,-0.0026882321500001144,0.16487754668804167,0.795,0.005133955772615707,0.9890669479394678
MAGN,3,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,0.09113127596039057,-0.01913500858767314,0.15118154517225812,0.77,0.004657820988256287,0.9890669479394678
MAGN,5,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,-0.039486997968944094,-0.10772138646896508,0.13847653673949656,0.79,0.004918540781677354,0.9890669479394678
ALRS,1,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.1274924987205714,-0.06726528447963151,0.12911886376539172,0.7475,0.005653527671683758,0.9890669479394678
ALRS,2,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,-0.04866373651564903,-0.03836941337199299,0.11439148359038001,0.7925,0.005758729758256262,0.9890669479394678
ALRS,3,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.0030370746786782263,-0.05272817487214761,0.11516646898014887,0.765,0.005918042607334341,0.9890669479394678
