ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
PLZL,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.12522985905424588,-0.07784956365656741,0.08013800246540817,0.79,0.004426566977291563,0.9842866822427846
PLZL,2,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.021334802933111695,-0.0045076295293158064,0.07642313621675095,0.84,0.004372300296471682,0.9842866822427846
PLZL,3,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.07953342279694961,0.009488130695943547,0.06242395405880251,0.7825,0.004615617516712669,0.9842866822427846
PLZL,5,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.02472943513276566,-0.04169223716297293,0.0649585689100233,0.81,0.004669156343159785,0.9842866822427846
GMKN,1,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.07032615554982481,-0.0545535853246888,0.08882801006934143,0.765,0.005611228679512735,0.9842866822427846
GMKN,2,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,-0.02826028983674915,-0.11841925532376132,0.08509726061447823,0.7925,0.005242919037832396,0.9842866822427846
GMKN,3,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,-0.08785747423203316,-0.12536699461165543,0.09360898676546216,0.805,0.0051732474094380995,0.9842866822427846
GMKN,5,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.04475412254585061,-0.122534317730115,0.08904228041527332,0.7925,0.005070349891031358,0.9842866822427846
MAGN,1,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,0.11245172219129865,0.08014199573811874,0.15674767423884833,0.7675,0.004784597636299262,0.9842866822427846
MAGN,2,400,0.545,0.039994227128710064,0.4960015667969213,0.5931422955491075,-0.013923420843441642,-0.0025202293595697526,0.15428112479649914,0.7975,0.0051245538608966365,0.9842866822427846
MAGN,3,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,0.12020189983823314,0.012592231058219567,0.13662237406359307,0.7925,0.0046340695373744524,0.9842866822427846
MAGN,5,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,-0.05466563761375726,-0.09910217178034805,0.13127714555467912,0.7875,0.004921045771145558,0.9842866822427846
ALRS,1,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.12343276592713359,-0.07045600029724539,0.1417050681703565,0.755,0.005638295885952267,0.9842866822427846
ALRS,2,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,-0.06307721288204413,-0.0077900780547685445,0.11239728833987334,0.795,0.005737547912488047,0.9842866822427846
ALRS,3,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.03983308609880087,-0.09155631161053368,0.10560554242979084,0.75,0.005951108123074442,0.9842866822427846
ALRS,5,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.025722325189461683,-0.0034168692522460824,0.10955125920985337,0.7625,0.006018006266117612,0.9842866822427846
NLMK,1,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.10501204875479703,-0.08897546893827954,0.14477024163966365,0.74,0.005693716879666335,0.9842866822427846
NLMK,2,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.06300847067961178,-0.02132056095337999,0.11628180121637194,0.7675,0.005988578987976432,0.9842866822427846
NLMK,3,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.051105215150232496,-0.04641571159610518,0.13368703812983612,0.7575,0.005565172737929127,0.9842866822427846
NLMK,5,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.006181109147682346,-0.07752669605381704,0.10782439093721065,0.7675,0.0058700661722221326,0.9842866822427846
CHMF,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.13077088294186967,-0.1381810886302944,0.15710974301974362,0.7775,0.00537656043547035,0.9842866822427846
CHMF,2,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,-0.01850636562868054,-0.06304297832369818,0.12351271431989055,0.75,0.005958519871816274,0.9842866822427846
CHMF,3,400,0.4475,0.9842866822427846,0.39950002860195316,0.4964987986610134,-0.06080596024333596,-0.1527764392226328,0.11989748396128257,0.78,0.005582016787327804,0.9842866822427846
CHMF,5,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,-0.020891250974548612,-0.03916446711801351,0.10420408428250494,0.7475,0.005947216406038276,0.9842866822427846
RUAL,1,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,0.00494244901740569,0.0006129419055202153,0.10540688082448482,0.805,0.005517595123957223,0.9842866822427846
RUAL,2,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.002886833996014733,-0.017752185753753633,0.10254830169076067,0.7725,0.006126228377926245,0.9842866822427846
RUAL,3,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.02116452052374586,0.037534132379264576,0.10512502739213343,0.785,0.005663674511207745,0.9842866822427846
RUAL,5,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.04488795608108889,0.0009510113378535906,0.10495858921436516,0.765,0.0058475640652866255,0.9842866822427846
MTLR,1,400,0.545,0.039994227128710064,0.4960015667969213,0.5931422955491075,0.08079048104544213,0.01324622020721356,0.13272307096963995,0.7875,0.007663830956617152,0.9842866822427846
MTLR,2,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,-0.025785424346680377,0.0006738830023713142,0.14058546676085817,0.7925,0.00762348460376628,0.9842866822427846
