ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
PLZL,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,0.04034109823787572,-0.011449936534647261,0.2849144905694889,0.785,0.01613650470506963,0.9946590981686902
PLZL,2,400,0.495,0.5986873729536268,0.44628359498707637,0.5438115314189205,0.03673834667588066,0.034768977282253866,0.2307294465466517,0.8075,0.014300447723049446,0.9946590981686902
PLZL,3,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,0.0007009118383250562,-0.0050322885511117485,0.19120862363578578,0.7925,0.015301184196797388,0.9946590981686902
PLZL,5,400,0.4975,0.5596055982095516,0.44875800198627125,0.5462895612167272,0.10795228271905948,0.05142421559195818,0.16625432653341285,0.785,0.014139874179653109,0.9946590981686902
GMKN,1,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,0.00616724120807125,-0.007048114196546772,0.1775450655368111,0.7875,0.01385290996360292,0.9946590981686902
GMKN,2,400,0.4875,0.708812760232969,0.4388676214712341,0.536370194543758,-0.09190882667991032,-0.004663375912039838,0.17704147856270414,0.81,0.011929438769102844,0.9946590981686902
GMKN,3,400,0.4975,0.5596055982095516,0.44875800198627125,0.5462895612167272,0.06691692111212406,0.10743381471876545,0.15534562617321845,0.8,0.013079731383486852,0.9946590981686902
GMKN,5,400,0.49,0.6736177011466651,0.4413384044602659,0.5388518483517277,0.08602788171663883,0.05700102510197706,0.16513188830446685,0.8325,0.011441575618584086,0.9946590981686902
MAGN,1,400,0.5275,0.1468540590808912,0.47854513130033327,0.5759316734666842,0.1414156690167056,0.09337390520709068,0.2804094807355584,0.8025,0.015117511925109343,0.9946590981686902
MAGN,2,400,0.5075,0.40131262704637316,0.458667706127959,0.5561896042630459,-0.06590883382056184,-0.008612643842715593,0.22727164483508655,0.77,0.015043355549725922,0.9946590981686902
MAGN,3,400,0.5,0.5199346509818965,0.4512336165999552,0.5487663834000448,-0.0038778526330321946,0.07502531334853323,0.18930359498189947,0.785,0.015900342307399545,0.9946590981686902
MAGN,5,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,0.007725573302592146,0.025100725923889632,0.19498841793297372,0.7725,0.014579838461817617,0.9946590981686902
ALRS,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.018867841891773582,-0.00722949402074713,0.23595858470928688,0.7775,0.01547488071486279,0.9946590981686902
ALRS,2,400,0.5,0.5199346509818965,0.4512336165999552,0.5487663834000448,0.01845170457879528,0.0324592025664596,0.18563431932536995,0.7675,0.014746962613165935,0.9946590981686902
ALRS,3,400,0.5025,0.4800653490181035,0.4537104387832728,0.5512419980137288,-0.050676054478438766,-0.005665323993757739,0.16772394753352582,0.81,0.015411082172971918,0.9946590981686902
ALRS,5,400,0.485,0.7421284715039852,0.4363980471740593,0.5338873320439311,0.051517903265468186,0.04526147540011701,0.17807546535517696,0.7725,0.014769639810577915,0.9946590981686902
NLMK,1,400,0.525,0.17106119804202546,0.4760562161165593,0.5734681518534566,0.14503018562114697,0.08016523039760826,0.2729798700872898,0.755,0.016101267827260356,0.9946590981686902
NLMK,2,400,0.5075,0.40131262704637316,0.458667706127959,0.5561896042630459,-0.029190591044387777,0.023246157086266653,0.28455576295381635,0.8225,0.014484284065169462,0.9946590981686902
NLMK,3,400,0.515,0.291187239767031,0.46611266795606887,0.5636019528259407,-0.08053236366082824,0.03585566532147675,0.20132632752695087,0.7625,0.015634726186288965,0.9946590981686902
NLMK,5,400,0.4875,0.708812760232969,0.4388676214712341,0.536370194543758,0.00046477100003064595,0.012756250601645808,0.2463876717802383,0.83,0.014157386989791729,0.9946590981686902
CHMF,1,400,0.5125,0.326382298853335,0.463629805456242,0.5611323785287659,0.009905893488114147,0.015755388626319942,0.25083844070614636,0.78,0.015926614831702497,0.9946590981686902
CHMF,2,400,0.47,0.8943768699508731,0.42160601793747937,0.5189647404985014,-0.07941059351983089,-0.01702952329760786,0.2303181448710207,0.8,0.014979817534997147,0.9946590981686902
CHMF,3,400,0.4775,0.8289388019579745,0.4289965818287492,0.5264314869982364,-0.11993458221854916,0.020400960426923236,0.2040704927250271,0.81,0.014866691169172531,0.9946590981686902
CHMF,5,400,0.4475,0.9842866822427847,0.39950002860195316,0.4964987986610134,0.04928602218982804,-0.047102138415758166,0.20793834854547144,0.8025,0.014535927323267618,0.9946590981686902
RUAL,1,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,-0.017212282031474985,0.0058072216268328005,0.21548530693081794,0.76,0.016706390812894725,0.9946590981686902
RUAL,2,400,0.47,0.8943768699508731,0.42160601793747937,0.5189647404985014,0.022798891285403404,0.035295006866435295,0.2148123176414401,0.79,0.015414380173035954,0.9946590981686902
RUAL,3,400,0.49,0.6736177011466651,0.4413384044602659,0.5388518483517277,-0.040158781932788906,0.029607850208915428,0.17314177075779635,0.7825,0.01637795751495076,0.9946590981686902
RUAL,5,400,0.47,0.8943768699508731,0.42160601793747937,0.5189647404985014,0.06186353116259773,0.007796576842363143,0.17961660059711837,0.81,0.014649321494990698,0.9946590981686902
MTLR,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.0715795635137546,0.02063488046530082,0.19592738605633586,0.7675,0.02320286496588753,0.9946590981686902
MTLR,2,400,0.455,0.9679105891020774,0.4068577044508926,0.5039984332030787,-0.06906585247680935,-0.0322817821864076,0.2107352673202722,0.815,0.02022793773339024,0.9946590981686902
MTLR,3,400,0.45,0.979884630159681,0.40195136207927884,0.4989999019806892,0.0015875327108667045,0.009740643908591654,0.16399289119783061,0.7825,0.022356122509761676,0.9946590981686902
MTLR,5,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,0.06432717876724701,0.06020277577667841,0.16208529644338554,0.835,0.019484562544443324,0.9946590981686902
MTLRP,1,400,0.4375,0.9946590981686902,0.3897069912730114,0.4864820888019487,-0.07077710142053387,-0.016031025892379928,0.18303870466121328,0.7825,0.023515742306539255,0.9946590981686902
MTLRP,2,400,0.47,0.8943768699508731,0.42160601793747937,0.5189647404985014,-0.05568592544519449,0.004001055705190848,0.18671363864404011,0.8225,0.020603339910442817,0.9946590981686902
MTLRP,3,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,0.017978066075283263,0.08014618061385234,0.16219445205995023,0.8,0.02162382187532321,0.9946590981686902
