ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
GAZP,1,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.0020784331580720413,-0.04173851869171481,0.08959099718698027,0.7875,0.0053625609283128204,0.9984354919365929
GAZP,2,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.060157235923960946,-0.0699949337052778,0.08392350323966638,0.795,0.004922070661528626,0.9984354919365929
GAZP,3,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,-0.02146614867570444,-0.0235586895349479,0.09124588584060198,0.8075,0.004876460008656639,0.9984354919365929
GAZP,5,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.07336972569977034,-0.0020344824191789773,0.09037441975315519,0.81,0.004662227119381372,0.9984354919365929
ROSN,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.033759562180896235,-0.009818367053502648,0.11039300042960268,0.76,0.004352332219050968,0.9984354919365929
ROSN,2,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,0.06029275912814303,-0.0343899512850451,0.09410634317392103,0.7825,0.00436171559246599,0.9984354919365929
ROSN,3,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.017804623441409265,-0.05078695489249666,0.08488823746533178,0.755,0.0044791971569804,0.9984354919365929
ROSN,5,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,-0.0189509133312439,-0.050440947663584305,0.0777155119288817,0.7825,0.004406253718927584,0.9984354919365929
LKOH,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.05706411698635586,-0.04092263669698506,0.14399278576915772,0.78,0.003369059847795348,0.9984354919365929
LKOH,2,400,0.53,0.12505616143816314,0.48103525950149856,0.5783939820625206,0.07513916835204584,0.03539249967801659,0.11361106713629188,0.775,0.003510087092297684,0.9984354919365929
LKOH,3,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,0.034651180988563,-0.011177082616615801,0.1249661145923469,0.805,0.0032143633966352247,0.9984354919365929
LKOH,5,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.0045417362759545745,0.011949293550021426,0.10828548658123316,0.805,0.0032524966179318104,0.9984354919365929
NVTK,1,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.07117387863422882,-0.06494957499282758,0.08999419698503205,0.7725,0.00523419387773097,0.9984354919365929
NVTK,2,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,-0.08160775141916923,-0.05458116150850925,0.08717736743805811,0.7775,0.005266786510065818,0.9984354919365929
NVTK,3,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,-0.0040247192566594345,-0.03194922804094151,0.08426267162168104,0.7675,0.005222308019649503,0.9984354919365929
NVTK,5,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.06582762996093158,-0.07126666141441836,0.08671940578144617,0.785,0.0049200174862134224,0.9984354919365929
TATN,1,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.006703493692888307,0.06450353006710906,0.1706330427962946,0.7625,0.004308670549124421,0.9984354919365929
TATN,2,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,-0.12161417960935286,-0.11152749714567875,0.11564249226456977,0.74,0.00485832415670185,0.9984354919365929
TATN,3,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.012014936862848786,-0.01044249393166014,0.1006190070635413,0.7825,0.004579533786057241,0.9984354919365929
TATN,5,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.03063582897243313,-0.04467186488013749,0.0983447163843138,0.7725,0.004778408755432919,0.9984354919365929
SNGS,1,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.03459559379337306,-0.048787622024277576,0.1128205922862135,0.7825,0.00514847462193936,0.9984354919365929
