ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
GAZP,1,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.04071299906826241,0.042586979471145786,0.14875908675710597,0.8,0.01539046222810069,0.9978431356642563
GAZP,2,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.0030174123478957818,0.06004070959960862,0.127788575529578,0.7925,0.014032334950797237,0.9978431356642563
GAZP,3,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.20170890073620465,0.00328085703141904,0.14382972791578974,0.8075,0.014791626025813324,0.9978431356642563
GAZP,5,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.040991879929039444,0.061383851436280674,0.11490759083430693,0.8375,0.013092840597157079,0.9978431356642563
ROSN,1,400,0.4475,0.9842866822427846,0.39950002860195316,0.4964987986610134,-0.022456292101741732,-0.030793924830629493,0.19107140734905415,0.795,0.012704086002615508,0.9978431356642563
ROSN,2,400,0.5125,0.3263822988533345,0.463629805456242,0.5611323785287659,0.0753527348493143,0.058854472634102394,0.1778655772004339,0.76,0.014456687490906355,0.9978431356642563
ROSN,3,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,-0.11388197363190973,0.03463135200261839,0.1609194482334853,0.8125,0.013921187268388207,0.9978431356642563
ROSN,5,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.036166546358555235,0.037500719021152415,0.14488788511969314,0.7725,0.01366946785400873,0.9978431356642563
LKOH,1,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.002812129313582933,-0.03179618257173334,0.186869325072143,0.7875,0.01272423295422017,0.9978431356642563
LKOH,2,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,-0.021772130457310232,0.0930783057442777,0.15575913960540283,0.7925,0.013714184216807866,0.9978431356642563
LKOH,3,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.12589885442761178,-0.0027494348518622945,0.1514961305968621,0.7975,0.01331380536591484,0.9978431356642563
LKOH,5,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,-0.061137754185878794,0.03583828232978166,0.12985125379246637,0.8125,0.01276458352971342,0.9978431356642563
NVTK,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,0.003042922565588279,-0.03369594877505589,0.15264975093444536,0.785,0.01475632875809612,0.9978431356642563
NVTK,2,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.042600259861808536,0.06539631719403452,0.1422157539454561,0.7775,0.015484219107551218,0.9978431356642563
NVTK,3,400,0.5225,0.19767637700452917,0.4735685130017636,0.5710034181712508,-0.12287924721448981,0.04957034269368946,0.12106777722729146,0.775,0.015195889298331378,0.9978431356642563
NVTK,5,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.07300734473728739,-0.017353785828870583,0.11664659932069547,0.775,0.015123658802061768,0.9978431356642563
TATN,1,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.033860203417755474,0.010214109669255289,0.26040085897857956,0.7925,0.013075220184442245,0.9978431356642563
TATN,2,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.04322613382036439,0.05565736576965518,0.17720872967656132,0.765,0.014526207604391796,0.9978431356642563
TATN,3,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.06790639002727641,0.020373647544482537,0.1705840607540492,0.8,0.013763076249330052,0.9978431356642563
TATN,5,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.008736112342002313,0.03140815115869742,0.12087362109018754,0.775,0.014053667634540308,0.9978431356642563
SNGS,1,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.09034412189259021,0.06713214085222578,0.12031682063518248,0.8025,0.014691459456416691,0.9978431356642563
SNGS,2,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.04566015372375215,-0.020479304789737116,0.11247119266677585,0.775,0.016129758842956893,0.9978431356642563
SNGS,3,400,0.5325,0.10562313004912738,0.48352660176021306,0.5808550766008076,-0.03207632648638673,-0.007418130280243217,0.091299738470212,0.79,0.01628491987769274,0.9978431356642563
SNGS,5,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.028249689083391427,-0.045888411991888055,0.08870572764520954,0.785,0.015707172837631747,0.9978431356642563
SNGSP,1,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,-0.18742314551155753,0.01969010146706792,0.17475432393775842,0.8,0.012164509606936514,0.9978431356642563
SNGSP,2,400,0.435,0.9960150847120994,0.3872618167504356,0.4839748265275229,-0.018067962935367086,-0.03692823578046047,0.16288260078237177,0.805,0.012090468812067155,0.9978431356642563
SNGSP,3,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.06857453509857221,0.10599998989281818,0.14671541998339704,0.7975,0.012618858842499454,0.9978431356642563
SNGSP,5,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.09225143678129874,-0.042897906170430766,0.14184401241519146,0.795,0.012658207000600443,0.9978431356642563
TATNP,1,400,0.4525,0.974479888435426,0.40440392129266217,0.5014997795643075,-0.027649885276288547,0.006750302432638467,0.20789792444803368,0.7775,0.012704783992301483,0.9978431356642563
TATNP,2,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,0.1122821074546778,0.04804145168669542,0.15811240020266298,0.7725,0.012813580783750094,0.9978431356642563
TATNP,3,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,0.0007224930423354228,-0.0028565990719332073,0.14060188295474396,0.8125,0.013224032086393027,0.9978431356642563
TATNP,5,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,0.012185990797608317,-0.012000753840399985,0.11256009595834854,0.7975,0.01254120939681085,0.9978431356642563
SIBN,1,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.024069847752406746,0.0028677279637884592,0.20561952771942194,0.7875,0.013015085501719727,0.9978431356642563
SIBN,2,400,0.5275,0.14685405908089114,0.47854513130033327,0.5759316734666842,0.11286576569550345,0.06154890066318971,0.18232793379323842,0.76,0.012925933655980586,0.9978431356642563
SIBN,3,400,0.43,0.9978431356642563,0.3823751858037104,0.4789565838802449,-0.16561961933660882,-0.024677212643304726,0.1587437772347769,0.77,0.01430709104031331,0.9978431356642563
SIBN,5,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,0.019081963545361017,-0.03829278565532086,0.1592375386421392,0.79,0.012504200627239592,0.9978431356642563
RNFT,1,400,0.4475,0.9842866822427846,0.39950002860195316,0.4964987986610134,-0.05495980051535524,-0.01946124544133889,0.14726701664779224,0.7875,0.01991751094764314,0.9978431356642563
RNFT,2,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.0669467428592591,0.046075655651046765,0.11750862850742755,0.7925,0.01996281616547613,0.9978431356642563
RNFT,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.12106446316241587,-0.02132716425672643,0.122731165314869,0.7925,0.02143711068858864,0.9978431356642563
RNFT,5,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,-0.0018446552590178514,0.005550607172988483,0.1271482632000839,0.7775,0.020816461955254516,0.9978431356642563
BANEP,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,0.028102814332731273,0.04900809202580868,0.2203355367564493,0.7925,0.014933188634252977,0.9978431356642563
BANEP,2,400,0.515,0.29118723976703065,0.46611266795606887,0.5636019528259407,0.09696932792276487,0.10990966043573572,0.20092830980173226,0.7725,0.014509402373465484,0.9978431356642563
BANEP,3,400,0.45,0.9798846301596811,0.40195136207927884,0.4989999019806892,-0.2581997731522175,-0.008353952743553118,0.16479130734925806,0.7975,0.016476015270800174,0.9978431356642563
BANEP,5,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.05175593048781119,0.0858143073810191,0.16626649992907178,0.7825,0.014037912706939788,0.9978431356642563
TRNFP,1,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,0.013681843343166645,0.027531068603423598,0.1151844220473152,0.805,0.011680727632168684,0.9978431356642563
