ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
IRAO,1,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,-0.024097007619448614,0.023520367402982013,0.24131949084245738,0.795,0.0038326662792417267,0.9997278196156258
IRAO,2,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,0.009388985801491468,0.014193560908789227,0.225396547540906,0.81,0.003653034304683211,0.9997278196156258
IRAO,3,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.047902982388678274,-0.06436650960532035,0.21616805455973953,0.8225,0.004017412611722704,0.9997278196156258
IRAO,5,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.01642020832882206,0.012492433641112088,0.22141297016509187,0.8325,0.003573488952529148,0.9997278196156258
FEES,1,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.057223500307697614,-0.013669034500950505,0.279164934073878,0.805,0.005758275248258357,0.9997278196156258
FEES,2,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.09177253403906599,0.04503671370871259,0.25531700007095937,0.82,0.005967901424362416,0.9997278196156258
FEES,3,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.10288927462789652,-0.010486111668323667,0.2584361682372717,0.83,0.006120706323205729,0.9997278196156258
FEES,5,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.036358821834371835,0.07587256119023385,0.2573370027856351,0.8275,0.005873155495691094,0.9997278196156258
UPRO,1,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,0.007076968344102931,-0.034862673824377494,0.24743872838959993,0.83,0.004639065967165079,0.9997278196156258
UPRO,2,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,0.14043201924727908,0.05640116042925553,0.23195244505466442,0.865,0.004543464821864215,0.9997278196156258
UPRO,3,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,-0.06034366196366088,-0.016583982727101557,0.23246482093312007,0.79,0.005206367336663445,0.9997278196156258
UPRO,5,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,0.012898827418872393,0.039925052217424935,0.2047172342992307,0.8575,0.0046300968364853656,0.9997278196156258
HYDR,1,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.02231706613165386,-0.04741537013778924,0.21952542993837215,0.84,0.005077584953155169,0.9997278196156258
HYDR,2,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.05825320088045645,-0.04215330297688367,0.23325121659473172,0.82,0.005083209951104684,0.9997278196156258
HYDR,3,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,-0.05185783662357928,-0.05216182123920484,0.21231716412583246,0.8325,0.00530947059662166,0.9997278196156258
HYDR,5,400,0.5025,0.4800653490181036,0.4537104387832728,0.5512419980137288,-0.007512502339583509,-8.006307545339e-05,0.22294350571463428,0.8275,0.004955886857839239,0.9997278196156258
MSNG,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.03576308762228215,-0.031031111412675214,0.2784149692649515,0.785,0.005577026500580216,0.9997278196156258
MSNG,2,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,0.017544724061055037,-0.004779713233220585,0.23096132804565803,0.7775,0.00583837913542035,0.9997278196156258
MSNG,3,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.014638384336413277,0.05332548818358506,0.27503432092893165,0.8575,0.005613160811101735,0.9997278196156258
MSNG,5,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,0.022454582378646233,-0.005047747678698051,0.237173301025292,0.785,0.005815984963342808,0.9997278196156258
MRKC,1,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.00604605508081962,0.0008017988692542607,0.24137307839684405,0.82,0.005203344090334101,0.9997278196156258
MRKC,2,400,0.425,0.9988758959477646,0.3774935293944863,0.4739333666954657,-0.058848784182452846,-0.036799757966620696,0.23182915308190433,0.815,0.005218977904630001,0.9997278196156258
MRKC,3,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,0.024803457067306654,-0.001654899701482133,0.2660739560307318,0.8225,0.005318554420832046,0.9997278196156258
MRKC,5,400,0.445,0.9878360845980799,0.3970499227484684,0.4939964677174965,-0.024433355449274413,-0.009089312246655051,0.22730360922519585,0.83,0.005187002004734563,0.9997278196156258
MSRS,1,400,0.415,0.9997278196156258,0.36774522964195816,0.46387191925998755,-0.03537992472513779,-0.12407558726558116,0.22089808490868332,0.8025,0.00441855797304597,0.9997278196156258
MSRS,2,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.11776758522334474,-0.0068503554211086235,0.21368475232329776,0.79,0.004402610412254267,0.9997278196156258
MSRS,3,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.018382171772653694,0.013705291197317138,0.22936784213384215,0.84,0.004454573648479678,0.9997278196156258
MSRS,5,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,0.01844338458864031,-0.019087633064858445,0.1887152880415865,0.8075,0.004328606095281695,0.9997278196156258
