ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
IRAO,1,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.05631247736169527,-0.022196205992748193,0.06467608794974931,0.7625,0.003665232021965777,0.9798846301596811
IRAO,2,400,0.535,0.08847097088885246,0.4860191592087707,0.5833149559492518,-0.04405495219034594,-0.017096114078981678,0.058629077725909,0.8,0.003384223974036203,0.9798846301596811
IRAO,3,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.06349941457760107,-0.10057955506841901,0.06278762444096975,0.7875,0.0035554701559870603,0.9798846301596811
IRAO,5,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.10974602770914206,-0.12173338308585004,0.05597142693253114,0.805,0.003442412304709327,0.9798846301596811
FEES,1,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.00519342161847363,-0.038954145180100916,0.09109636564598728,0.7975,0.005694116874365489,0.9798846301596811
FEES,2,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.10533021305079869,-0.06441956429046992,0.07436430556399574,0.79,0.006058374170181968,0.9798846301596811
FEES,3,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,0.005702805764222262,-0.08958542126330334,0.09099608701834143,0.8075,0.005737072383747546,0.9798846301596811
FEES,5,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.06576578558115091,-0.0695796209422655,0.08534261783280925,0.7925,0.005906367639628109,0.9798846301596811
UPRO,1,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,0.0453622215313965,-0.020139547177209057,0.0802097920131474,0.7975,0.00463105755196739,0.9798846301596811
UPRO,2,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,-0.04877400951890164,-0.01743438427494568,0.08796859550532785,0.805,0.0046966187280228,0.9798846301596811
UPRO,3,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.004672617873512017,-0.02482415883993407,0.08281217963424897,0.765,0.004913659485776104,0.9798846301596811
UPRO,5,400,0.485,0.7421284715039849,0.4363980471740593,0.5338873320439311,0.006171581241826086,-0.004572242921382606,0.09058927687807246,0.795,0.004721492095570806,0.9798846301596811
HYDR,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.06915644223351011,-0.060634222933524946,0.07951160956698754,0.8,0.0050292087049335675,0.9798846301596811
HYDR,2,400,0.545,0.039994227128710064,0.4960015667969213,0.5931422955491075,-0.06156596292963759,-0.05147321982234805,0.07628177612131068,0.78,0.005294877082233085,0.9798846301596811
HYDR,3,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,0.03699364052811642,-0.18447193854311963,0.0759013380990124,0.7975,0.004989435845667109,0.9798846301596811
HYDR,5,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.0412718304624539,-0.11563521083961031,0.08995832091326272,0.785,0.00486499669076998,0.9798846301596811
MSNG,1,400,0.49,0.6736177011466655,0.4413384044602659,0.5388518483517277,-0.0825502714090589,-0.031356508414514705,0.1050784539982372,0.7575,0.005790808215042544,0.9798846301596811
MSNG,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.010632559974158746,0.001989676613112381,0.10416710146102681,0.7725,0.006182506482327543,0.9798846301596811
MSNG,3,400,0.5,0.5199346509818964,0.4512336165999552,0.5487663834000448,-0.009900283500405928,-0.005686111299959869,0.10520322595226189,0.79,0.005336646647290397,0.9798846301596811
MSNG,5,400,0.505,0.44039440179044864,0.4561884685810796,0.5537164050129236,-0.04292581249402639,0.016356008261241332,0.1164425756235936,0.775,0.005445490231675365,0.9798846301596811
MRKC,1,400,0.4575,0.96000577287129,0.40931270985864554,0.5064958645923273,-0.04068658886838895,-0.04777305433970647,0.07718497461444704,0.8275,0.004843244072094464,0.9798846301596811
MRKC,2,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.0231243077528702,-0.03452084805937439,0.06767244784535571,0.81,0.00512556517770269,0.9798846301596811
MRKC,3,400,0.45,0.9798846301596811,0.40195136207927884,0.4989999019806892,0.06732963084785662,0.012212123997240374,0.07087358068083394,0.795,0.005254940882014145,0.9798846301596811
MRKC,5,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,0.004987039286891877,-0.005882722830990158,0.08323096780053217,0.795,0.005272065739330447,0.9798846301596811
MSRS,1,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,-0.0168747727964197,-0.045368247739068675,0.06691499903484813,0.765,0.0043103920880343035,0.9798846301596811
MSRS,2,400,0.45,0.9798846301596811,0.40195136207927884,0.4989999019806892,-0.009947393804521157,0.00999548747257209,0.07485101202167974,0.785,0.004023822756599959,0.9798846301596811
MSRS,3,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.06146550053966275,-0.010097855860841158,0.07032754753379059,0.7825,0.004141947480656402,0.9798846301596811
MSRS,5,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.014392970845926011,0.03961662091276883,0.06513949393956266,0.8,0.0039012694756280376,0.9798846301596811
