ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
IRAO,1,400,0.465,0.9265171308072763,0.4166850440507483,0.5139808407912294,-0.24221654727981415,-0.045886096209185205,0.17775794475057766,0.7825,0.014138251732401068,0.9997278196156258
IRAO,2,400,0.5425,0.04941089345828242,0.49350413540767263,0.5906872901413545,-0.1530950052794573,0.06897719453561806,0.19160879095553707,0.8075,0.012533928786162041,0.9997278196156258
IRAO,3,400,0.48,0.8023236229954712,0.43146252672290986,0.5289179789010773,-0.0824917478016514,0.03754841581191508,0.16355465507527056,0.805,0.011363262076796029,0.9997278196156258
IRAO,5,400,0.52,0.22664810827100504,0.4710820210989227,0.5685374732770901,-0.010586237878351243,0.08707531241510362,0.12962000035839671,0.8075,0.012192407197376031,0.9997278196156258
FEES,1,400,0.505,0.4403944017904485,0.4561884685810796,0.5537164050129236,-0.021291420441360228,-0.009664010517357562,0.2106797533477272,0.79,0.015001939786187237,0.9997278196156258
FEES,2,400,0.485,0.7421284715039852,0.4363980471740593,0.5338873320439311,-0.01002002093905873,0.018936642529961294,0.18103766488251744,0.805,0.014286666253714185,0.9997278196156258
FEES,3,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,0.019346328009827433,0.03192365057079791,0.16717573197340624,0.775,0.013658971860973283,0.9997278196156258
FEES,5,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,-0.057962192038532756,-0.009241756607603985,0.1439629305202404,0.8075,0.014245163430719238,0.9997278196156258
UPRO,1,400,0.4825,0.773351891728995,0.4339296820630707,0.5314032603579181,0.06347977917079024,0.07326374744614084,0.18736047046370635,0.795,0.013085300198940617,0.9997278196156258
UPRO,2,400,0.475,0.8531459409191088,0.4265318481465433,0.5239437838834407,-0.0454531349871081,-0.005234848122040131,0.16330595499289421,0.815,0.012848889121266662,0.9997278196156258
UPRO,3,400,0.445,0.9878360845980799,0.3970499227484684,0.4939964677174965,-0.11034367599527979,-0.056440371168030856,0.16748063774024996,0.8075,0.011885140520701528,0.9997278196156258
UPRO,5,400,0.455,0.9679105891020774,0.4068577044508926,0.5039984332030787,-0.03010058205600417,-0.035954445270488196,0.15216677793070515,0.815,0.012639386599415405,0.9997278196156258
HYDR,1,400,0.45,0.979884630159681,0.40195136207927884,0.4989999019806892,-0.07211584932045248,-0.03510566510011399,0.11137229978290421,0.78,0.012401920973067821,0.9997278196156258
HYDR,2,400,0.505,0.4403944017904485,0.4561884685810796,0.5537164050129236,0.0514788340396151,0.05436916946781583,0.11521780776934089,0.82,0.011806118031386736,0.9997278196156258
HYDR,3,400,0.425,0.9988758959477646,0.3774935293944863,0.4739333666954657,-0.001663411003351323,-0.05189474808998343,0.11815388418191108,0.835,0.01134943020156137,0.9997278196156258
HYDR,5,400,0.49,0.6736177011466651,0.4413384044602659,0.5388518483517277,0.0011110294969623171,0.06093214902520737,0.10255932224575504,0.8425,0.011759083543570354,0.9997278196156258
MSNG,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.007449804876066033,-0.03559243697440323,0.1211830990389208,0.8075,0.013788628104568566,0.9997278196156258
MSNG,2,400,0.4575,0.9600057728712897,0.40931270985864554,0.5064958645923273,-0.08895962360646965,-0.10261544832635146,0.11069404523919639,0.82,0.013009460821709595,0.9997278196156258
MSNG,3,400,0.445,0.9878360845980799,0.3970499227484684,0.4939964677174965,-0.028651623720680426,0.0018848793829676798,0.09549073703696978,0.815,0.012893243660869929,0.9997278196156258
MSNG,5,400,0.465,0.9265171308072763,0.4166850440507483,0.5139808407912294,-0.05162785036335321,-0.03608575247921942,0.09451904306526007,0.8075,0.012929920024974262,0.9997278196156258
MRKC,1,400,0.4475,0.9842866822427847,0.39950002860195316,0.4964987986610134,-0.04597597122650342,-0.005858530634836054,0.1891910728499991,0.81,0.014350800426301108,0.9997278196156258
MRKC,2,400,0.49,0.6736177011466651,0.4413384044602659,0.5388518483517277,-0.1492476403691922,-0.11840860597086238,0.17119601003534354,0.785,0.01396650491324944,0.9997278196156258
