ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
IRAO,1,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,-0.057897431001722705,-7.89445473064068e-05,0.29245696718500125,0.815,0.01289871573171303,0.9999628671596181
IRAO,2,400,0.4275,0.9984354919365928,0.37993373444987266,0.476445598437081,-0.21521078539208283,-0.09549580060066899,0.27605872408872334,0.8025,0.01350690346120055,0.9999628671596181
IRAO,3,400,0.5425,0.04941089345828238,0.49350413540767263,0.5906872901413545,0.25067495158678715,0.19013157345713844,0.2768164998302678,0.815,0.013310133597876967,0.9999628671596181
IRAO,5,400,0.4425,0.99066923984132,0.3946010465039066,0.49149290716505667,-0.08624328545626263,-0.08935920875536578,0.23511324857198873,0.84,0.013315495809512851,0.9999628671596181
FEES,1,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,0.03537787179877774,0.05067224665071281,0.2845006692618521,0.825,0.014668624058690826,0.9999628671596181
FEES,2,400,0.4575,0.96000577287129,0.40931270985864554,0.5064958645923273,-0.07111120003608086,-0.07225469566956955,0.25713934929504384,0.7925,0.014933415833027645,0.9999628671596181
FEES,3,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.20078750289787556,0.08231467846429429,0.232992744333786,0.8125,0.014755354048109508,0.9999628671596181
FEES,5,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.0905971220418271,-0.03401610856657187,0.22876548641346622,0.8125,0.014477041183409946,0.9999628671596181
UPRO,1,400,0.465,0.9265171308072765,0.4166850440507483,0.5139808407912294,0.08321961070415895,0.08717979495199463,0.2951772281891303,0.8475,0.011578892036238117,0.9999628671596181
UPRO,2,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.014455121038176392,-0.06336228426261292,0.26331025196769353,0.79,0.013637365862392952,0.9999628671596181
UPRO,3,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.022247833344123377,0.047107224663587174,0.24087666964501886,0.8175,0.013666526627204833,0.9999628671596181
UPRO,5,400,0.455,0.9679105891020774,0.4068577044508926,0.5039984332030787,-0.10548155250946743,-0.07708646014746143,0.23724346480434627,0.8075,0.01303656385672664,0.9999628671596181
HYDR,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,0.08974196114432442,0.025721788731661525,0.25861681017582244,0.8175,0.012528815544434448,0.9999628671596181
HYDR,2,400,0.4025,0.9999628671596181,0.3555882638828042,0.4512667010341336,-0.14030803369309572,-0.16556986231750456,0.20788417869870435,0.825,0.012482979780408052,0.9999628671596181
HYDR,3,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.01774765347850292,0.03213904835031017,0.20960841504383496,0.8175,0.012964109957165309,0.9999628671596181
HYDR,5,400,0.44,0.9929079384040589,0.3921534019514147,0.48898811492054695,-0.05167790693213186,-0.04246325669989851,0.17664909426439396,0.83,0.012436841292875356,0.9999628671596181
MSNG,1,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,0.08519854761871103,0.018631462327287577,0.28378413352415527,0.87,0.01269909727921258,0.9999628671596181
MSNG,2,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.06513797435937023,-0.049278296352806165,0.25005530990380487,0.835,0.013752773499279005,0.9999628671596181
MSNG,3,400,0.495,0.5986873729536267,0.44628359498707637,0.5438115314189205,0.10383850270629151,0.08160674810787508,0.17704304059535397,0.8175,0.014980046489267353,0.9999628671596181
MSNG,5,400,0.4425,0.99066923984132,0.3946010465039066,0.49149290716505667,-0.13064310840657906,-0.10196573124530509,0.2462568250739241,0.845,0.013244304359805113,0.9999628671596181
MRKC,1,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,-0.029639722996603227,0.06171163709801661,0.312315713032133,0.835,0.013695244647272689,0.9999628671596181
MRKC,2,400,0.455,0.9679105891020774,0.4068577044508926,0.5039984332030787,-0.09726580407490404,-0.04851911465071767,0.309410381887001,0.825,0.014444218097646622,0.9999628671596181
MRKC,3,400,0.4875,0.7088127602329694,0.4388676214712341,0.536370194543758,0.18258845178930258,0.03479655287050056,0.26264994887616855,0.82,0.015599855562877124,0.9999628671596181
MRKC,5,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.0750453843206548,-0.01050832415943416,0.24705397111738817,0.825,0.014206174228039119,0.9999628671596181
MSRS,1,400,0.4625,0.9394835815769507,0.4142263811170028,0.5114870669279734,-0.07519118428289766,-0.0562201750131527,0.26719972011421855,0.8225,0.012850061606162895,0.9999628671596181
MSRS,2,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.1690691555895798,-0.12254912425607319,0.25142977642276954,0.825,0.013299425766960794,0.9999628671596181
MSRS,3,400,0.44,0.9929079384040589,0.3921534019514147,0.48898811492054695,0.03934963274109409,-0.03429215705633177,0.21618241776485786,0.8225,0.013591606824189171,0.9999628671596181
MSRS,5,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.014577575239277059,0.02197912647114787,0.21707124919678372,0.82,0.01267762366733129,0.9999628671596181
TORS,1,400,0.415,0.9997278196156258,0.36774522964195816,0.46387191925998755,-0.07199534880238832,0.020854566056947115,0.3208026305259303,0.8225,0.019332249668952962,0.9999628671596181
TORS,2,400,0.42,0.9994360978704692,0.3726168694631035,0.46890515303284536,-0.028679698198863988,-0.0007888408593597334,0.27039291154360495,0.8175,0.02072909304927072,0.9999628671596181
TORS,3,400,0.4325,0.9970544752784131,0.38481788076603707,0.48146632571491976,-0.16523749355059947,-0.012806839262999697,0.2554805173111735,0.815,0.01933949342385523,0.9999628671596181
TORS,5,400,0.4325,0.9970544752784131,0.38481788076603707,0.48146632571491976,0.025802990171257246,0.01407360459692712,0.22252729918727504,0.81,0.020068617429049595,0.9999628671596181
