ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
IRAO,1,400,0.55,0.02552011156457406,0.5010000980193108,0.5980486379207213,-0.2578914360260352,0.15918643937850174,0.1615717997663813,0.8075,0.012163744000669031,0.8166435700663699
IRAO,2,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.16567641628754337,0.03695400363550716,0.16010641917969282,0.78,0.011515152814200603,0.9998736384078947
IRAO,3,400,0.4775,0.8289388019579742,0.4289965818287492,0.5264314869982364,-0.15986879146517963,-0.007977063221682458,0.1471699596939283,0.7875,0.013979006761948869,0.9998736384078947
IRAO,5,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,0.09168186764657528,-0.06495870625500567,0.13171690698419372,0.8025,0.011843912663625404,0.9998736384078947
FEES,1,400,0.53,0.12505616143816314,0.48103525950149856,0.5783939820625206,0.17097260446289245,0.13457057014617912,0.10789233065892878,0.8075,0.01427960193494763,0.9998736384078947
FEES,2,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,-0.03421181583827787,0.02637844222114569,0.1001582589886113,0.77,0.014128939354971606,0.9998736384078947
FEES,3,400,0.4975,0.5596055982095514,0.44875800198627125,0.5462895612167272,-0.05441267789877065,0.05743279650364616,0.09448973996268248,0.8,0.015667357995100786,0.9998736384078947
FEES,5,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.013543375341100639,-0.04936710895197711,0.09114746159901789,0.795,0.015015482703863835,0.9998736384078947
UPRO,1,400,0.52,0.22664810827100487,0.4710820210989227,0.5685374732770901,0.16688897006068742,0.10718094469948657,0.12222213801820113,0.79,0.01331301571506272,0.9998736384078947
UPRO,2,400,0.41,0.9998736384078947,0.36287863529353875,0.4588336400144037,-0.12831217680901733,-0.07228249601826202,0.12032195856234157,0.8,0.012636288089287273,0.9998736384078947
UPRO,3,400,0.47,0.8943768699508726,0.42160601793747937,0.5189647404985014,-0.09770108618700722,-0.03875164682351571,0.10660316762444928,0.8075,0.014075002390298125,0.9998736384078947
UPRO,5,400,0.46,0.9505891065417176,0.4117689359158348,0.5089920753321397,-0.08189460931329896,-0.03236277283107023,0.10446576100932028,0.7925,0.012820787869699845,0.9998736384078947
HYDR,1,400,0.5175,0.25787152849601513,0.4685967396420818,0.5660703179369293,0.15541379672002548,0.10161607117228286,0.06927993112750545,0.84,0.011116501936994276,0.9998736384078947
HYDR,2,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.009204918272946528,0.00492309281888979,0.043778810606122126,0.7975,0.011923398504068055,0.9998736384078947
HYDR,3,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.024809594771986708,0.06288849548023416,0.05396549639053086,0.8225,0.011347294370085312,0.9998736384078947
HYDR,5,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.06490088473906191,0.05603727056942783,0.04344098244696466,0.7825,0.01231827914922301,0.9998736384078947
MSNG,1,400,0.475,0.8531459409191089,0.4265318481465433,0.5239437838834407,0.10577570917907464,0.013901517266661393,0.06731149856741633,0.8025,0.013568948030365742,0.9998736384078947
MSNG,2,400,0.42,0.9994360978704692,0.3726168694631035,0.46890515303284536,-0.08766371158363766,-0.16107729872138477,0.05830507935393735,0.785,0.013449855869528501,0.9998736384078947
MSNG,3,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,-0.0294674267922363,-0.025738142464632317,0.04527659195902521,0.7975,0.014016337935729584,0.9998736384078947
MSNG,5,400,0.48,0.8023236229954709,0.43146252672290986,0.5289179789010773,-0.09063636748734095,-0.06278040029576247,0.0381623694461624,0.77,0.013344985874554165,0.9998736384078947
MRKC,1,400,0.5075,0.40131262704637327,0.458667706127959,0.5561896042630459,0.057598541447711364,0.05183166235025477,0.1446251279498077,0.805,0.01392504750202811,0.9998736384078947
MRKC,2,400,0.4725,0.8749438385618369,0.4240683265333157,0.5214548686996666,-0.015646699185377345,-0.05391188939117342,0.13739280683724825,0.7825,0.01452462097875475,0.9998736384078947
MRKC,3,400,0.51,0.3631934575915604,0.4611481516482723,0.558661595539734,-0.016203916688137626,0.038432299423827636,0.13400457229750862,0.805,0.013883476852537142,0.9998736384078947
MRKC,5,400,0.4825,0.7733518917289951,0.4339296820630707,0.5314032603579181,-0.023355729980950184,-0.04303764786719913,0.1245107473932977,0.7875,0.014365435482614772,0.9998736384078947
MSRS,1,400,0.4675,0.9115290291111475,0.41914492339919235,0.5164733982397869,0.0649264794881992,0.005265908032377835,0.10089990429662139,0.825,0.013067452742791903,0.9998736384078947
MSRS,2,400,0.4325,0.9970544752784131,0.38481788076603707,0.48146632571491976,-0.10340931565408074,-0.08333404093012141,0.09034863490301252,0.8275,0.012548830775174291,0.9998736384078947
MSRS,3,400,0.4925,0.6368065424084396,0.4438103957369542,0.5413322938720411,0.05796729626677964,0.0852372337282957,0.08642210406805682,0.82,0.013757188077542606,0.9998736384078947
MSRS,5,400,0.4425,0.99066923984132,0.3946010465039066,0.49149290716505667,-0.013450577006627473,-0.05071138643378108,0.06502110028031369,0.81,0.013087297256195169,0.9998736384078947
TORS,1,400,0.45,0.9798846301596811,0.40195136207927884,0.4989999019806892,0.04210399654529737,0.0637359297099804,0.12603610141453103,0.8,0.018555902436280424,0.9998736384078947
TORS,2,400,0.41,0.9998736384078947,0.36287863529353875,0.4588336400144037,-0.03081257724979413,-0.045427958292617365,0.11413058840256493,0.78,0.01959119867970781,0.9998736384078947
TORS,3,400,0.4325,0.9970544752784131,0.38481788076603707,0.48146632571491976,-0.018158898268282014,-0.05256934455399274,0.11630102904998554,0.8025,0.018496386825833766,0.9998736384078947
TORS,5,400,0.425,0.9988758959477646,0.3774935293944863,0.4739333666954657,-0.10965374665841277,-0.06395623023297961,0.09886978141412658,0.7775,0.019215498944251272,0.9998736384078947
