logged_at,use,tag,period,arm,metric,value,n
2026-09-24T18:49:59,U1,R4_dev,dev_2021_2024,chr_N1ret,fz0_a0.05,-3.025711250150773,51779
2026-09-24T18:49:59,U1,R4_dev,dev_2021_2024,chr_Z1,fz0_a0.05,-2.9903848732833795,51779
2026-09-24T18:49:59,U1,R4_dev,dev_2021_2024,chr_Z2,fz0_a0.05,-2.962553311999642,51779
2026-09-24T18:49:59,U1,R4_dev,dev_2021_2024,chrfhs_N1rv,fz0_a0.05,-3.058547697625791,51779
2026-09-24T18:49:59,U1,R4_dev,dev_2021_2024,chrfhs_Z3,fz0_a0.05,-3.075737844565417,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,fhs_garch,fz0_a0.05,-3.0293706541407066,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,fhs_loghar,fz0_a0.05,-3.1010108426790137,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,garch_t,fz0_a0.05,-3.045680314485942,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,hs,fz0_a0.05,-2.789427480441569,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,rm,fz0_a0.05,-2.9793845993151646,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,chr_N1ret_cal,fz0_a0.05,-3.0325879659837955,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,chr_Z1_cal,fz0_a0.05,-2.9908632388363965,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,chr_Z2_cal,fz0_a0.05,-2.9724124530800102,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,chrfhs_N1rv_cal,fz0_a0.05,-3.0643354360806074,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,chrfhs_Z3_cal,fz0_a0.05,-3.0825247402602978,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,fhs_garch_cal,fz0_a0.05,-3.031175598051699,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,fhs_loghar_cal,fz0_a0.05,-3.1015307468687263,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,garch_t_cal,fz0_a0.05,-3.0506600972140503,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,hs_cal,fz0_a0.05,-2.809538399855535,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,rm_cal,fz0_a0.05,-2.966204758312203,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixeq_chr_N1ret,fz0_a0.05,-3.1030482785872966,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixeq_chr_Z1,fz0_a0.05,-3.092111606959968,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixeq_chr_Z2,fz0_a0.05,-3.0921304548081587,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixeq_chrfhs_N1rv,fz0_a0.05,-3.081337561580861,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixeq_chrfhs_Z3,fz0_a0.05,-3.0935404740550636,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixfit_chr_N1ret,fz0_a0.05,-3.0852424652531347,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixfit_chr_Z1,fz0_a0.05,-3.078393378191379,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixfit_chr_Z2,fz0_a0.05,-3.086930185590037,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixfit_chrfhs_N1rv,fz0_a0.05,-3.0783128147135788,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixfit_chrfhs_Z3,fz0_a0.05,-3.082080541698956,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixreg_chr_N1ret,fz0_a0.05,-3.1007226336614826,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixreg_chr_Z1,fz0_a0.05,-3.0851119556968984,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixreg_chr_Z2,fz0_a0.05,-3.0958712888071926,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixreg_chrfhs_N1rv,fz0_a0.05,-3.0880009562085595,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,mixreg_chrfhs_Z3,fz0_a0.05,-3.0872525695493227,51779
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,chr_N1ret,fz0_a0.01,-2.2633413929012187,55850
2026-09-24T18:50:00,U1,R4_dev,dev_2021_2024,chr_Z1,fz0_a0.01,-2.2175507753670676,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,chr_Z2,fz0_a0.01,-2.161571356759983,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,chrfhs_N1rv,fz0_a0.01,-2.50450530507775,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,chrfhs_Z3,fz0_a0.01,-2.5183252124604,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,fhs_garch,fz0_a0.01,-2.399293850767259,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,fhs_loghar,fz0_a0.01,-2.5524970999240937,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,garch_t,fz0_a0.01,-2.426106143251347,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,hs,fz0_a0.01,-1.8325463208072639,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,rm,fz0_a0.01,-2.1049572442263225,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,chr_N1ret_cal,fz0_a0.01,-2.3268840017557024,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,chr_Z1_cal,fz0_a0.01,-2.2559674944456427,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,chr_Z2_cal,fz0_a0.01,-2.250878742244381,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,chrfhs_N1rv_cal,fz0_a0.01,-2.494771041054252,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,chrfhs_Z3_cal,fz0_a0.01,-2.5120691310640724,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,fhs_garch_cal,fz0_a0.01,-2.40893789300679,55850
2026-09-24T18:50:01,U1,R4_dev,dev_2021_2024,fhs_loghar_cal,fz0_a0.01,-2.506578481036742,55850
2026-09-24T18:50:02,U1,R4_dev,dev_2021_2024,garch_t_cal,fz0_a0.01,-2.421096935705936,55850
2026-09-24T18:50:02,U1,R4_dev,dev_2021_2024,hs_cal,fz0_a0.01,-1.9811381108625639,55850
2026-09-24T18:50:02,U1,R4_dev,dev_2021_2024,rm_cal,fz0_a0.01,-2.2970067272039096,55850
2026-09-24T18:52:52,U3,R4_dev,dev_2021_2024,chr_N1rv,gmv_realized_var,0.0006113840810674326,790
2026-09-24T18:52:52,U2,R4_dev,dev_2021_2024,chr_N1rv,vt_fee_bps_vs_ewma,-76.55537945510115,790
2026-09-24T18:52:53,U3,R4_dev,dev_2021_2024,chr_N4rv,gmv_realized_var,0.0005938597710608883,790
2026-09-24T18:52:53,U2,R4_dev,dev_2021_2024,chr_N4rv,vt_fee_bps_vs_ewma,1.6876956774005416,790
2026-09-24T18:52:53,U3,R4_dev,dev_2021_2024,chr_Z2ret,gmv_realized_var,0.0006603561640427748,790
2026-09-24T18:52:53,U2,R4_dev,dev_2021_2024,chr_Z2ret,vt_fee_bps_vs_ewma,-48.630201867736346,790
2026-09-24T18:52:53,U3,R4_dev,dev_2021_2024,chr_Z3,gmv_realized_var,0.0005824212908555711,790
2026-09-24T18:52:53,U2,R4_dev,dev_2021_2024,chr_Z3,vt_fee_bps_vs_ewma,-64.63085866445675,790
2026-09-24T18:52:54,U3,R4_dev,dev_2021_2024,ewma,gmv_realized_var,0.0006060533771914523,790
2026-09-24T18:52:54,U2,R4_dev,dev_2021_2024,ewma,vt_fee_bps_vs_ewma,-3.408257336127798e-10,790
2026-09-24T18:52:54,U3,R4_dev,dev_2021_2024,garch,gmv_realized_var,0.000689583081284227,790
2026-09-24T18:52:54,U2,R4_dev,dev_2021_2024,garch,vt_fee_bps_vs_ewma,-72.48416456198034,790
2026-09-24T18:52:54,U3,R4_dev,dev_2021_2024,har_rv,gmv_realized_var,0.0009201962006616791,790
2026-09-24T18:52:54,U2,R4_dev,dev_2021_2024,har_rv,vt_fee_bps_vs_ewma,15.584485610879087,790
2026-09-24T18:52:55,U3,R4_dev,dev_2021_2024,loghar,gmv_realized_var,0.0006043549354957866,790
2026-09-24T18:52:55,U2,R4_dev,dev_2021_2024,loghar,vt_fee_bps_vs_ewma,-29.888339227054942,790
2026-09-24T18:52:55,U3,R4_dev,dev_2021_2024,loghar_pooled,gmv_realized_var,0.0006042753171115411,790
2026-09-24T18:52:55,U2,R4_dev,dev_2021_2024,loghar_pooled,vt_fee_bps_vs_ewma,-10.506364145387648,790
2026-09-24T18:52:55,U3,R4_dev,dev_2021_2024,loghar_pooled_mkt,gmv_realized_var,0.000598806656572854,790
2026-09-24T18:52:55,U2,R4_dev,dev_2021_2024,loghar_pooled_mkt,vt_fee_bps_vs_ewma,-3.322812381306358,790
2026-09-24T18:52:56,U3,R4_dev,dev_2021_2024,mixeq_chr_N1rv,gmv_realized_var,0.0005935833089865839,790
2026-09-24T18:52:56,U2,R4_dev,dev_2021_2024,mixeq_chr_N1rv,vt_fee_bps_vs_ewma,-36.29400938341569,790
2026-09-24T18:52:56,U3,R4_dev,dev_2021_2024,mixeq_chr_N4rv,gmv_realized_var,0.0005831354551098458,790
2026-09-24T18:52:56,U2,R4_dev,dev_2021_2024,mixeq_chr_N4rv,vt_fee_bps_vs_ewma,-0.570056621005742,790
2026-09-24T18:52:56,U3,R4_dev,dev_2021_2024,mixeq_chr_Z3,gmv_realized_var,0.0005819949486213445,790
2026-09-24T18:52:56,U2,R4_dev,dev_2021_2024,mixeq_chr_Z3,vt_fee_bps_vs_ewma,-32.13016517847311,790
2026-09-24T18:52:57,U3,R4_dev,dev_2021_2024,mixfit_chr_N1rv,gmv_realized_var,0.0006032405730571031,790
2026-09-24T18:52:57,U2,R4_dev,dev_2021_2024,mixfit_chr_N1rv,vt_fee_bps_vs_ewma,-68.83166515128747,790
2026-09-24T18:52:57,U3,R4_dev,dev_2021_2024,mixfit_chr_N4rv,gmv_realized_var,0.0006017262178695964,790
2026-09-24T18:52:57,U2,R4_dev,dev_2021_2024,mixfit_chr_N4rv,vt_fee_bps_vs_ewma,-64.00807121073014,790
2026-09-24T18:52:57,U3,R4_dev,dev_2021_2024,mixfit_chr_Z3,gmv_realized_var,0.0005973752389460747,790
2026-09-24T18:52:57,U2,R4_dev,dev_2021_2024,mixfit_chr_Z3,vt_fee_bps_vs_ewma,-65.26430047759258,790
2026-09-24T18:52:58,U3,R4_dev,dev_2021_2024,mixreg_chr_N1rv,gmv_realized_var,0.0006013227913589689,790
2026-09-24T18:52:58,U2,R4_dev,dev_2021_2024,mixreg_chr_N1rv,vt_fee_bps_vs_ewma,-63.1157019092117,790
2026-09-24T18:52:58,U3,R4_dev,dev_2021_2024,mixreg_chr_N4rv,gmv_realized_var,0.0005795431735543851,790
2026-09-24T18:52:58,U2,R4_dev,dev_2021_2024,mixreg_chr_N4rv,vt_fee_bps_vs_ewma,-39.055936680145074,790
2026-09-24T18:52:58,U3,R4_dev,dev_2021_2024,mixreg_chr_Z3,gmv_realized_var,0.0005852098480611671,790
2026-09-24T18:52:58,U2,R4_dev,dev_2021_2024,mixreg_chr_Z3,vt_fee_bps_vs_ewma,-74.42622571347275,790
2026-09-24T18:52:59,U3,R4_dev,dev_2021_2024,chr_N1rv_cal,gmv_realized_var,0.0006113840810674326,790
2026-09-24T18:52:59,U2,R4_dev,dev_2021_2024,chr_N1rv_cal,vt_fee_bps_vs_ewma,-78.63936538121271,790
2026-09-24T18:52:59,U3,R4_dev,dev_2021_2024,chr_N4rv_cal,gmv_realized_var,0.0005938597710608883,790
2026-09-24T18:52:59,U2,R4_dev,dev_2021_2024,chr_N4rv_cal,vt_fee_bps_vs_ewma,0.3892359655021749,790
2026-09-24T18:52:59,U3,R4_dev,dev_2021_2024,chr_Z2ret_cal,gmv_realized_var,0.0006603561640427748,790
2026-09-24T18:52:59,U2,R4_dev,dev_2021_2024,chr_Z2ret_cal,vt_fee_bps_vs_ewma,49.12510862987881,790
2026-09-24T18:53:00,U3,R4_dev,dev_2021_2024,chr_Z3_cal,gmv_realized_var,0.0005824212908555711,790
2026-09-24T18:53:00,U2,R4_dev,dev_2021_2024,chr_Z3_cal,vt_fee_bps_vs_ewma,-82.36458518472826,790
2026-09-24T18:53:00,U3,R4_dev,dev_2021_2024,ewma_cal,gmv_realized_var,0.0006060533771914523,790
2026-09-24T18:53:00,U2,R4_dev,dev_2021_2024,ewma_cal,vt_fee_bps_vs_ewma,142.83534200891438,790
2026-09-24T18:53:00,U3,R4_dev,dev_2021_2024,garch_cal,gmv_realized_var,0.000689583081284227,790
2026-09-24T18:53:00,U2,R4_dev,dev_2021_2024,garch_cal,vt_fee_bps_vs_ewma,-104.82416864925749,790
2026-09-24T18:53:01,U3,R4_dev,dev_2021_2024,har_rv_cal,gmv_realized_var,0.0009201962006616791,790
2026-09-24T18:53:01,U2,R4_dev,dev_2021_2024,har_rv_cal,vt_fee_bps_vs_ewma,-69.02126354538039,790
2026-09-24T18:53:01,U3,R4_dev,dev_2021_2024,loghar_cal,gmv_realized_var,0.0006043549354957866,790
2026-09-24T18:53:01,U2,R4_dev,dev_2021_2024,loghar_cal,vt_fee_bps_vs_ewma,-84.32720149624677,790
2026-09-24T18:53:01,U3,R4_dev,dev_2021_2024,loghar_pooled_cal,gmv_realized_var,0.0006042753171115411,790
2026-09-24T18:53:01,U2,R4_dev,dev_2021_2024,loghar_pooled_cal,vt_fee_bps_vs_ewma,-43.45854786445418,790
2026-09-24T18:53:02,U3,R4_dev,dev_2021_2024,loghar_pooled_mkt_cal,gmv_realized_var,0.000598806656572854,790
