ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh
SBER,1,40,0.575,0.21479525392169307,0.42194800436059987,0.7149083147518411,0.04377827786856337,-0.050844277673545976,0.2579091921834112,0.725,0.007192883997156981,0.9967867119521543
SBER,2,40,0.425,0.8659063744726154,0.28509168524815875,0.5780519956394001,-0.011912033055047375,-0.024865118707459406,0.3407320421534778,0.85,0.006137556697755705,0.9967867119521543
SBER,3,40,0.45,0.7852047460783069,0.30705075280944694,0.6017117011155924,-0.013732996517304604,-0.05666572874173156,0.24884174008575954,0.825,0.005995079062916917,0.9967867119521543
SBER,5,40,0.425,0.8659063744726154,0.28509168524815875,0.5780519956394001,0.02243938051044883,-0.059298180815110714,0.2863032493304316,0.9,0.005883106054652443,0.9967867119521543
GAZP,1,40,0.45,0.7852047460783069,0.30705075280944694,0.6017117011155924,-0.026672561218678222,0.0035648951678600503,0.33171623218760593,0.65,0.012928546765021549,0.9967867119521543
GAZP,2,40,0.5,0.5626853438097896,0.35199278797099753,0.6480072120290025,0.2449973645720973,0.029086132994753676,0.23729853388780434,0.725,0.010351853222145551,0.9967867119521543
GAZP,3,40,0.45,0.7852047460783069,0.30705075280944694,0.6017117011155924,0.003970605631996849,-0.10826023746606574,0.14200899701902472,0.725,0.013331452781719702,0.9967867119521543
GAZP,5,40,0.475,0.6820859986855794,0.32935229550181694,0.6250289314607027,0.06430896207722263,0.0067554889536202084,0.21289002384813788,0.775,0.010554982951435754,0.9967867119521543
LKOH,1,40,0.425,0.8659063744726154,0.28509168524815875,0.5780519956394001,-0.08887715256856205,-0.057410881801125704,0.2797503213121909,0.7,0.009375620744645732,0.9967867119521543
LKOH,2,40,0.575,0.21479525392169307,0.42194800436059987,0.7149083147518411,0.19792361919964752,0.31413023634333964,0.26200390763344733,0.725,0.009179275975350707,0.9967867119521543
LKOH,3,40,0.375,0.9596547661240038,0.2422277353579172,0.529678399454681,0.002960887509777697,-0.038086303939962485,0.1524793070606407,0.575,0.010944281568591516,0.9967867119521543
LKOH,5,40,0.525,0.43731465619021037,0.37497106853929735,0.6706477044981831,0.21333794738510564,0.21580034157397887,0.3026608002440374,0.7,0.008840559116995599,0.9967867119521543
ROSN,1,40,0.35,0.9807613458578999,0.2213433317104915,0.5049440300646263,-0.1509849984347771,-0.0634265351756564,0.16059808769173434,0.75,0.008448832732210717,0.9967867119521543
ROSN,2,40,0.35,0.9807613458578999,0.2213433317104915,0.5049440300646263,-0.11156149627685981,-0.17690148643414025,0.1578415265440662,0.775,0.007749085076491344,0.9967867119521543
ROSN,3,40,0.3,0.9967867119521543,0.18074670915695296,0.454303106543204,-0.10051959758583758,-0.1407129455909944,0.15297892136472382,0.675,0.008934987477808892,0.9967867119521543
ROSN,5,40,0.55,0.3179140013144206,0.39828829888440775,0.6929492471905531,0.028282563651809877,0.055735398159361835,0.11891983005507711,0.7,0.007941797992455544,0.9967867119521543
NVTK,1,40,0.5,0.5626853438097896,0.35199278797099753,0.6480072120290025,0.15063676775721,0.11163227016885555,0.43654715885189277,0.775,0.010841014589601097,0.9967867119521543
NVTK,2,40,0.675,0.01923865414210013,0.52017458088898,0.7991568303733828,0.12854934468935228,0.24225933997565804,0.64291939507702,0.9,0.00717497534443313,0.46172769941040315
NVTK,3,40,0.625,0.07692997208141605,0.47032160054531913,0.7577722646420829,0.0805751780187532,0.18368591417552577,0.2675498462507114,0.725,0.01210363080912136,0.7385277319815942
NVTK,5,40,0.7,0.008294501687487355,0.545696893456796,0.8192532908430471,0.2415067336413804,0.3165697184654803,0.400273634332407,0.875,0.007958700712489367,0.398136080999393
TATN,1,40,0.35,0.9807613458578999,0.2213433317104915,0.5049440300646263,-0.026819037340783263,-0.07317073170731708,0.289878836704953,0.675,0.01004894430948428,0.9967867119521543
TATN,2,40,0.475,0.6820859986855794,0.32935229550181694,0.6250289314607027,-0.0687273369474161,-0.0531056492742922,0.3075019475134707,0.8,0.00845424791712453,0.9967867119521543
TATN,3,40,0.475,0.6820859986855794,0.32935229550181694,0.6250289314607027,-0.2365355118029603,-0.16960600375234522,0.14917377767289458,0.75,0.010988687975485292,0.9967867119521543
TATN,5,40,0.475,0.6820859986855794,0.32935229550181694,0.6250289314607027,0.07304956305984461,0.1063989510195183,0.31512862617076254,0.8,0.007465076471702728,0.9967867119521543
GMKN,1,40,0.525,0.43731465619021037,0.37497106853929735,0.6706477044981831,-0.28187807404591014,-0.3566401143496271,0.1937819619461079,0.775,0.010630957217060519,0.9967867119521543
GMKN,2,40,0.575,0.21479525392169307,0.42194800436059987,0.7149083147518411,0.25670395109097827,0.21502356896718744,0.1893862988942886,0.725,0.01192113071890821,0.9967867119521543
GMKN,3,40,0.425,0.8659063744726154,0.28509168524815875,0.5780519956394001,-0.12251229336183808,-0.06738621107974534,0.193093996922751,0.8,0.012053590406823874,0.9967867119521543
