ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
SBER,1,40,0.025,0.9999999999990905,0.0044267174077949195,0.1288165948800778,,,0.0,0.025,0.007117894702184799,0.9999999999990905,zero
SBER,2,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.005831906507696365,0.9999999999990905,zero
SBER,3,40,0.025,0.9999999999990905,0.0044267174077949195,0.1288165948800778,,,0.0,0.025,0.005719131918270348,0.9999999999990905,zero
SBER,5,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.005625278245931485,0.9999999999990905,zero
GAZP,1,40,0.025,0.9999999999990905,0.0044267174077949195,0.1288165948800778,,,0.0,0.025,0.012096886237253923,0.9999999999990905,zero
GAZP,2,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.0105705914889706,0.9999999999990905,zero
GAZP,3,40,0.025,0.9999999999990905,0.0044267174077949195,0.1288165948800778,,,0.0,0.025,0.01329602531954607,0.9999999999990905,zero
GAZP,5,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.010220634265614627,0.9999999999990905,zero
LKOH,1,40,0.025,0.9999999999990905,0.0044267174077949195,0.1288165948800778,,,0.0,0.025,0.008600937620475698,0.9999999999990905,zero
LKOH,2,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.00912980346973193,0.9999999999990905,zero
LKOH,3,40,0.025,0.9999999999990905,0.0044267174077949195,0.1288165948800778,,,0.0,0.025,0.010287794660478272,0.9999999999990905,zero
LKOH,5,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.008829847759806424,0.9999999999990905,zero
ROSN,1,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.007871145472809172,0.9999999999990905,zero
ROSN,2,40,0.125,0.9999999071487764,0.05459419773541284,0.26112420670238146,,,0.0,0.125,0.007241487172477303,0.9999999999990905,zero
ROSN,3,40,0.025,0.9999999999990905,0.0044267174077949195,0.1288165948800778,,,0.0,0.025,0.008496983703438474,0.9999999999990905,zero
ROSN,5,40,0.075,0.9999999992533048,0.025835556771858226,0.19864530159097524,,,0.0,0.075,0.007649786576007273,0.9999999999990905,zero
