ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
SBER,1,400,0.0475,1.0,0.030616832107668652,0.07299210763504237,,,0.0,0.0475,0.012256485634396718,1.0,zero
SBER,2,400,0.055,1.0,0.036598221864059276,0.08186802826965653,,,0.0,0.055,0.011742150768596915,1.0,zero
SBER,3,400,0.0425,1.0,0.02670146955162519,0.06700259659708263,,,0.0,0.0425,0.013010849219897596,1.0,zero
SBER,5,400,0.0575,1.0,0.038617261729224514,0.08480142520149289,,,0.0,0.0575,0.011816628543526825,1.0,zero
GAZP,1,400,0.05,1.0,0.0325971756266401,0.07596420091307252,,,0.0,0.05,0.014660061536663162,1.0,zero
GAZP,2,400,0.0575,1.0,0.038617261729224514,0.08480142520149289,,,0.0,0.0575,0.013736847097181669,1.0,zero
GAZP,3,400,0.045,1.0,0.028651223384090457,0.07000527956161895,,,0.0,0.045,0.016313727534844107,1.0,zero
GAZP,5,400,0.0625,1.0,0.04268884343581125,0.09063471708890933,,,0.0,0.0625,0.014464684084231672,1.0,zero
LKOH,1,400,0.0475,1.0,0.030616832107668652,0.07299210763504237,,,0.0,0.0475,0.011837606085631424,1.0,zero
LKOH,2,400,0.0575,1.0,0.038617261729224514,0.08480142520149289,,,0.0,0.0575,0.011837536064633012,1.0,zero
LKOH,3,400,0.0425,1.0,0.02670146955162519,0.06700259659708263,,,0.0,0.0425,0.013603364678809196,1.0,zero
LKOH,5,400,0.0625,1.0,0.04268884343581125,0.09063471708890933,,,0.0,0.0625,0.012326141474100619,1.0,zero
ROSN,1,400,0.055,1.0,0.036598221864059276,0.08186802826965653,,,0.0,0.055,0.012991570854751045,1.0,zero
ROSN,2,400,0.06,1.0,0.0406476805246611,0.0877234432030579,,,0.0,0.06,0.012951561137361366,1.0,zero
ROSN,3,400,0.0375,1.0,0.022854824841380277,0.06094436771332434,,,0.0,0.0375,0.014649773319009775,1.0,zero
ROSN,5,400,0.06,1.0,0.0406476805246611,0.0877234432030579,,,0.0,0.06,0.013427981481120526,1.0,zero
NVTK,1,400,0.05,1.0,0.0325971756266401,0.07596420091307252,,,0.0,0.05,0.016591597216689628,1.0,zero
NVTK,2,400,0.06,1.0,0.0406476805246611,0.0877234432030579,,,0.0,0.06,0.014472165578004592,1.0,zero
NVTK,3,400,0.0375,1.0,0.022854824841380277,0.06094436771332434,,,0.0,0.0375,0.01683330534312701,1.0,zero
NVTK,5,400,0.0625,1.0,0.04268884343581125,0.09063471708890933,,,0.0,0.0625,0.014954608546275621,1.0,zero
TATN,1,400,0.0525,1.0,0.03459126500804263,0.07892254832867157,,,0.0,0.0525,0.013478714332507824,1.0,zero
TATN,2,400,0.0575,1.0,0.038617261729224514,0.08480142520149289,,,0.0,0.0575,0.013259461740443157,1.0,zero
TATN,3,400,0.045,1.0,0.028651223384090457,0.07000527956161895,,,0.0,0.045,0.014976021239173458,1.0,zero
TATN,5,400,0.06,1.0,0.0406476805246611,0.0877234432030579,,,0.0,0.06,0.013474612170479966,1.0,zero
GMKN,1,400,0.0525,1.0,0.03459126500804263,0.07892254832867157,,,0.0,0.0525,0.013546167382867064,1.0,zero
GMKN,2,400,0.0625,1.0,0.04268884343581125,0.09063471708890933,,,0.0,0.0625,0.013277690895917238,1.0,zero
GMKN,3,400,0.045,1.0,0.028651223384090457,0.07000527956161895,,,0.0,0.045,0.01466037807180256,1.0,zero
GMKN,5,400,0.065,1.0,0.04474017569726697,0.09353582162445521,,,0.0,0.065,0.013642953668155275,1.0,zero
PLZL,1,400,0.0525,1.0,0.03459126500804263,0.07892254832867157,,,0.0,0.0525,0.01460279896794006,1.0,zero
PLZL,2,400,0.06,1.0,0.0406476805246611,0.0877234432030579,,,0.0,0.06,0.01415921112465556,1.0,zero
PLZL,3,400,0.0425,1.0,0.02670146955162519,0.06700259659708263,,,0.0,0.0425,0.015045144699338509,1.0,zero
PLZL,5,400,0.0625,1.0,0.04268884343581125,0.09063471708890933,,,0.0,0.0625,0.014864119375838772,1.0,zero
MAGN,1,400,0.0575,1.0,0.038617261729224514,0.08480142520149289,,,0.0,0.0575,0.01584463616085044,1.0,zero
MAGN,2,400,0.055,1.0,0.036598221864059276,0.08186802826965653,,,0.0,0.055,0.014801494085199943,1.0,zero
MAGN,3,400,0.0425,1.0,0.02670146955162519,0.06700259659708263,,,0.0,0.0425,0.015655336096268638,1.0,zero
MAGN,5,400,0.0575,1.0,0.038617261729224514,0.08480142520149289,,,0.0,0.0575,0.014799535898883392,1.0,zero
NLMK,1,400,0.0475,1.0,0.030616832107668652,0.07299210763504237,,,0.0,0.0475,0.015258561946792195,1.0,zero
NLMK,2,400,0.055,1.0,0.036598221864059276,0.08186802826965653,,,0.0,0.055,0.01553591072069715,1.0,zero
NLMK,3,400,0.0375,1.0,0.022854824841380277,0.06094436771332434,,,0.0,0.0375,0.015970329820240905,1.0,zero
NLMK,5,400,0.0575,1.0,0.038617261729224514,0.08480142520149289,,,0.0,0.0575,0.015563410596813489,1.0,zero
MOEX,1,400,0.05,1.0,0.0325971756266401,0.07596420091307252,,,0.0,0.05,0.012228263690151094,1.0,zero
