ticker,horizon,n,da,p_binom,da_ci_lo,da_ci_hi,pearson,spearman,amp_ratio,coverage,mae,p_binom_bh,baseline
SBER,1,500,0.048,1.0,0.03246497509125218,0.07042768006068446,,,0.0,0.048,0.002246236175299063,1.0,zero
SBER,2,500,0.05,1.0,0.03409350665098192,0.07276865002683111,,,0.0,0.05,0.0021126274212950806,1.0,zero
SBER,3,500,0.048,1.0,0.03246497509125218,0.07042768006068446,,,0.0,0.048,0.0022996850726728704,1.0,zero
SBER,5,500,0.03,1.0,0.018263049234083534,0.04890409218496562,,,0.0,0.03,0.002159616087735879,1.0,zero
GAZP,1,500,0.046,1.0,0.030844883399787512,0.06807827022627275,,,0.0,0.046,0.003307699569650213,1.0,zero
GAZP,2,500,0.044,1.0,0.029233737680341678,0.06571991441984218,,,0.0,0.044,0.0028508624363545163,1.0,zero
GAZP,3,500,0.046,1.0,0.030844883399787512,0.06807827022627275,,,0.0,0.046,0.0029890278589411673,1.0,zero
GAZP,5,500,0.03,1.0,0.018263049234083534,0.04890409218496562,,,0.0,0.03,0.003209772936219691,1.0,zero
LKOH,1,500,0.054,1.0,0.03737409848513375,0.07742706124443205,,,0.0,0.054,0.002711801866720309,1.0,zero
LKOH,2,500,0.042,1.0,0.027632099334746148,0.06335205123956134,,,0.0,0.042,0.002433161249660224,1.0,zero
LKOH,3,500,0.068,1.0,0.04906621332682857,0.09352145708387197,,,0.0,0.068,0.002407995463924336,1.0,zero
LKOH,5,500,0.036,1.0,0.022890872735181415,0.05618477326149691,,,0.0,0.036,0.0023478517258696137,1.0,zero
ROSN,1,500,0.05,1.0,0.03409350665098192,0.07276865002683111,,,0.0,0.05,0.0029503225075107413,1.0,zero
ROSN,2,500,0.056,1.0,0.03902536261505807,0.07974529864038413,,,0.0,0.056,0.0028897892846563755,1.0,zero
ROSN,3,500,0.052,1.0,0.03573001990962654,0.07510163829406287,,,0.0,0.052,0.003004591976271363,1.0,zero
ROSN,5,500,0.034,1.0,0.02133433944461342,0.053771805026188516,,,0.0,0.034,0.0030687272750056795,1.0,zero
NVTK,1,500,0.058,1.0,0.040683464783922846,0.08205669799739573,,,0.0,0.058,0.0036042661536034555,1.0,zero
NVTK,2,500,0.056,1.0,0.03902536261505807,0.07974529864038413,,,0.0,0.056,0.0033658773352486203,1.0,zero
NVTK,3,500,0.064,1.0,0.045695733565557124,0.08895293379339062,,,0.0,0.064,0.0035049667934282055,1.0,zero
NVTK,5,500,0.04,1.0,0.026040593951356387,0.06097405509707471,,,0.0,0.04,0.0038648140796344395,1.0,zero
