ticker,n_windows,n_trend_signals,signal_rate,n_both,acc_both,p_both,n_cum,acc_cum,p_cum
SBER,500,404,0.808,80,0.19801980198019803,0.9942271233671985,192,0.4752475247524752,0.8519441687837653
GAZP,500,420,0.84,113,0.26904761904761904,0.1982589209032782,207,0.4928571428571429,0.6336382521701205
LKOH,500,401,0.802,105,0.26184538653366585,0.3094689391207432,209,0.5211970074812967,0.21216224263776778
ROSN,500,393,0.786,79,0.2010178117048346,0.9905567467323212,184,0.4681933842239186,0.905193737459061
NVTK,500,411,0.822,99,0.24087591240875914,0.6832331172412736,208,0.5060827250608273,0.42180935492282773
TATN,500,369,0.738,88,0.23848238482384823,0.7136874752848439,190,0.5149051490514905,0.3013599902420537
GMKN,500,408,0.816,98,0.24019607843137256,0.6940561900409821,204,0.5,0.5197384875808286
PLZL,500,389,0.778,78,0.20051413881748073,0.9908738747239624,172,0.442159383033419,0.9902157703715925
MAGN,500,407,0.814,107,0.2628992628992629,0.2910268904683852,206,0.5061425061425061,0.4214311908977729
NLMK,500,412,0.824,113,0.27427184466019416,0.14018312545580322,223,0.5412621359223301,0.05193930818715868
MOEX,500,429,0.858,114,0.26573426573426573,0.24146353650645563,218,0.5081585081585082,0.38604927733320193
VTBR,500,459,0.918,99,0.21568627450980393,0.9617988966140328,220,0.4793028322440087,0.8247184891224961
